conference,year,title,official_event_id,selection_flag,reason,official_source_url
ICML,2026,Position: Stop Automating Peer Review Without Rigorous Evaluation,67247,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,"Position: Don't Just ""Fix it in Post'': A Science of AI Must Study Learning Dynamics",67142,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: AI Should Facilitate Democratic Deliberation at Scale,67203,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Safe Models Do Not Guarantee Safe Societies: The Case for Sociopolitical Risk,67167,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Child Safety Necessitates New Approaches to AI Safety,67205,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Measuring Human Preferences in RLHF is a Social Science Problem,67229,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Unplugging a Seemingly Sentient Machine Is the Rational Choice — A Metaphysical Perspective,67047,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,"Position: Zeroth-Order Optimization in Deep Learning Is Underexplored, Not Underpowered",67039,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Universal Aesthetic Alignment Narrows Artistic Expression,67242,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Good Embodied Reward Models Need Bad Behavior Data,67248,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,67118,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: The Case for Theory-Level Autoformalization,67212,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: *Beyond Text* The Text-Centric Bias in Foundation Models Must Be Revisited for a Speech-First Future,67080,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,"Position: If open source is to win, it must go public",67040,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Modular Memory is the Key to Continual Learning Agents,67101,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: There are futures that benchmark-driven AI cannot see,67149,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: The Time for Sampling Is Now! Charting a New Course for Bayesian Deep Learning,67217,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: No Retroactive Cure for Infringement during Training,67218,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,"Position: AI Governance Needs ISO-like Interoperability Protocols, Not Just Laws",67147,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: the Stochastic Parrot in the Coal Mine. Model Collapse is a Threat to Low-Resource Communities,67136,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,"Position: Don't Just ""Fix it in Post'': A Science of AI Must Study Learning Dynamics",71043,oral,position_paper_track,https://icml.cc/virtual/2026/events/oral
ICML,2026,Position: Anthropomorphic Misalignment Research Needs Stronger Evidence,71063,oral,position_paper_track,https://icml.cc/virtual/2026/events/oral
ICML,2026,Position: Stop Automating Peer Review Without Rigorous Evaluation,71099,oral,position_paper_track,https://icml.cc/virtual/2026/events/oral
ICML,2026,Position: AI Should Facilitate Democratic Deliberation at Scale,71183,oral,position_paper_track,https://icml.cc/virtual/2026/events/oral
ICML,2026,Position: The AI Imperative: Scaling High-Quality Peer Review in Machine Learning,71100,oral,position_paper_track,https://icml.cc/virtual/2026/events/oral
ICML,2026,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,71119,oral,position_paper_track,https://icml.cc/virtual/2026/events/oral
ICML,2026,Position: There are futures that benchmark-driven AI cannot see,71151,oral,position_paper_track,https://icml.cc/virtual/2026/events/oral
ICML,2026,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),71187,oral,position_paper_track,https://icml.cc/virtual/2026/events/oral
ICML,2026,Position: Irresponsible AI: big tech’s influence on AI research and associated impacts,71091,oral,position_paper_track,https://icml.cc/virtual/2026/events/oral
