paper_id,conference,analysis_stratum,sample_cohort,sentence_count,sequence
iclr-2026-a360ac840b2a,ICLR,oral,foundation_200,9,object_scope+impact_claim → object_scope+core_idea → problem_gap → problem_gap+theory → core_idea+theory+method → method+core_idea → method+impact_claim → experimental_setup+quantitative_result+qualitative_result → impact_claim
iclr-2026-987dd9468fc4,ICLR,oral,foundation_200,7,object_scope+problem_gap → problem_gap → core_idea+method → method → method → method+qualitative_result → qualitative_result+impact_claim
iclr-2026-0f7ec564e69d,ICLR,oral,foundation_200,7,object_scope+problem_gap → object_scope+method → core_idea+method+impact_claim → core_idea+method → method+object_scope → quantitative_result+qualitative_result → impact_claim
iclr-2026-255bea54f97f,ICLR,oral,foundation_200,5,object_scope+core_idea+method → problem_gap+core_idea → theory+quantitative_result → experimental_setup+quantitative_result+impact_claim → impact_claim
iclr-2026-dff0527cb8cf,ICLR,oral,foundation_200,7,object_scope → problem_gap → problem_gap → limitation → core_idea+method → quantitative_result+qualitative_result → impact_claim
iclr-2026-e6952544908b,ICLR,oral,foundation_200,7,object_scope → problem_gap → core_idea+theory → experimental_setup+object_scope → core_idea+theory → qualitative_result+experimental_setup → impact_claim
iclr-2026-7f4352669d70,ICLR,oral,foundation_200,7,object_scope+impact_claim → object_scope+problem_gap → problem_gap+qualitative_result → core_idea+method+impact_claim → core_idea+method+theory+qualitative_result → experimental_setup+object_scope+method → quantitative_result+qualitative_result+impact_claim
iclr-2026-4d615382a559,ICLR,oral,foundation_200,11,object_scope → problem_gap → problem_gap → core_idea+method → experimental_setup+quantitative_result → method → method+experimental_setup → method+experimental_setup → qualitative_result → impact_claim → impact_claim
iclr-2026-82716d8e922b,ICLR,oral,foundation_200,8,object_scope → object_scope+core_idea → problem_gap → problem_gap → core_idea+method → method+qualitative_result → experimental_setup+quantitative_result → impact_claim
iclr-2026-6e52571c3da4,ICLR,oral,foundation_200,5,object_scope+problem_gap → problem_gap+limitation → core_idea+method → experimental_setup+qualitative_result+impact_claim → impact_claim
iclr-2026-77178098d85f,ICLR,oral,foundation_200,9,object_scope+problem_gap → core_idea+method+experimental_setup → method → experimental_setup+qualitative_result → qualitative_result → qualitative_result+impact_claim → qualitative_result+quantitative_result → impact_claim+limitation → impact_claim
iclr-2026-6f113e6f8081,ICLR,oral,foundation_200,12,object_scope → problem_gap → problem_gap → core_idea → problem_gap → method+core_idea → method → method+theory → experimental_setup → qualitative_result → quantitative_result → qualitative_result+impact_claim
iclr-2026-0e6979a1fd18,ICLR,oral,foundation_200,10,object_scope+method → object_scope+qualitative_result+impact_claim → core_idea+method → core_idea+method+theory → theory+qualitative_result → experimental_setup+quantitative_result → quantitative_result+qualitative_result → experimental_setup+quantitative_result+impact_claim → impact_claim → impact_claim
iclr-2026-e87e18e18569,ICLR,oral,foundation_200,6,object_scope+core_idea → problem_gap+core_idea+method → method+object_scope → qualitative_result+impact_claim → experimental_setup+quantitative_result+qualitative_result → impact_claim
iclr-2026-9f44d179b34e,ICLR,oral,foundation_200,11,object_scope+problem_gap → object_scope+method → problem_gap+limitation → core_idea+theory → theory+method → core_idea+method+impact_claim → method+impact_claim → qualitative_result+impact_claim → experimental_setup+qualitative_result → experimental_setup+quantitative_result+theory → impact_claim
iclr-2026-72f24b2e940f,ICLR,oral,foundation_200,6,object_scope+problem_gap → object_scope+core_idea → method+theory → qualitative_result → theory+qualitative_result → theory+impact_claim
iclr-2026-9dbde6327464,ICLR,oral,foundation_200,13,object_scope+problem_gap → object_scope+method → method → problem_gap+object_scope → problem_gap → core_idea → core_idea+qualitative_result → core_idea+method → method+core_idea → method+object_scope → experimental_setup+quantitative_result → qualitative_result+impact_claim → impact_claim
iclr-2026-31327f1d20e6,ICLR,oral,foundation_200,8,object_scope+core_idea+experimental_setup → problem_gap → method+object_scope → method+core_idea → experimental_setup+object_scope → method+experimental_setup → quantitative_result+qualitative_result → impact_claim
iclr-2026-8015e8f6dc9a,ICLR,oral,foundation_200,7,object_scope+theory → problem_gap+object_scope → core_idea+theory → method+theory → theory+object_scope → theory+limitation+core_idea → experimental_setup+qualitative_result
iclr-2026-9ba8184b9ae8,ICLR,oral,foundation_200,9,object_scope+problem_gap → problem_gap → problem_gap+quantitative_result → core_idea+method+theory → core_idea+method+theory → experimental_setup+limitation → quantitative_result+qualitative_result → theory+method → theory+impact_claim+limitation
iclr-2026-9bfcc62a75a1,ICLR,oral,foundation_200,7,object_scope+problem_gap → problem_gap+object_scope → core_idea+method → core_idea+method+theory → object_scope+impact_claim → experimental_setup+qualitative_result+impact_claim → qualitative_result+impact_claim
iclr-2026-ac7703f2b4ec,ICLR,oral,foundation_200,10,object_scope+problem_gap → problem_gap+object_scope → problem_gap → problem_gap+limitation → core_idea+method → core_idea+method → method+experimental_setup+quantitative_result → qualitative_result+impact_claim → method+impact_claim → impact_claim
iclr-2026-7833e39d5371,ICLR,oral,foundation_200,11,object_scope+problem_gap → core_idea+method → core_idea+method → method+quantitative_result → experimental_setup → quantitative_result → quantitative_result+qualitative_result → experimental_setup → quantitative_result → quantitative_result+impact_claim → impact_claim
iclr-2026-7d504a5c8916,ICLR,oral,foundation_200,11,object_scope → object_scope+core_idea → core_idea+problem_gap → problem_gap → method+core_idea → experimental_setup+limitation → problem_gap+core_idea → method → experimental_setup → quantitative_result → qualitative_result+impact_claim
iclr-2026-fe86008e62d4,ICLR,oral,foundation_200,9,object_scope → object_scope+problem_gap → problem_gap+limitation → core_idea+method → method+qualitative_result → core_idea+method → theory+quantitative_result → method+limitation → experimental_setup+quantitative_result+qualitative_result
iclr-2026-0b114f73a492,ICLR,oral,foundation_200,6,object_scope+problem_gap → method → core_idea → method → method → experimental_setup+quantitative_result+qualitative_result+impact_claim
iclr-2026-e7be893c9452,ICLR,oral,foundation_200,8,object_scope → object_scope+method → problem_gap+limitation → core_idea → core_idea+method → experimental_setup+method → method+experimental_setup → qualitative_result+impact_claim
iclr-2026-322bd0a9b17a,ICLR,oral,foundation_200,6,object_scope+problem_gap → method → core_idea+method → quantitative_result → experimental_setup+quantitative_result+impact_claim → impact_claim
iclr-2026-0aa8e3fa3f6d,ICLR,oral,foundation_200,7,object_scope → object_scope+impact_claim → theory+problem_gap → core_idea → theory+method+impact_claim → experimental_setup+qualitative_result → impact_claim
iclr-2026-8148e4ce6cb5,ICLR,oral,foundation_200,8,object_scope → problem_gap → problem_gap → core_idea+method → method → method → qualitative_result+impact_claim → impact_claim
iclr-2026-c5caee9922e5,ICLR,oral,foundation_200,9,object_scope → problem_gap → problem_gap+qualitative_result → core_idea+method → method → method+core_idea → experimental_setup → quantitative_result → impact_claim
iclr-2026-e7ef44128dd8,ICLR,oral,foundation_200,6,object_scope+core_idea → problem_gap+qualitative_result → method+impact_claim → core_idea+method → theory+qualitative_result+object_scope → method+experimental_setup+quantitative_result+qualitative_result
iclr-2026-106be5e431a2,ICLR,oral,foundation_200,7,object_scope → problem_gap → problem_gap → core_idea+method → method → experimental_setup+qualitative_result → impact_claim
iclr-2026-3b8d372687ad,ICLR,oral,foundation_200,8,object_scope+problem_gap → problem_gap+limitation → core_idea+experimental_setup → method → core_idea+method → method → experimental_setup+qualitative_result+limitation → quantitative_result+qualitative_result+impact_claim
iclr-2026-2f4f189e96a1,ICLR,oral,foundation_200,9,object_scope+qualitative_result → problem_gap → problem_gap+limitation → core_idea+method+impact_claim → core_idea+qualitative_result → method+core_idea → method+theory → method+qualitative_result → experimental_setup+quantitative_result+impact_claim
iclr-2026-09d94b8d6d44,ICLR,oral,foundation_200,7,object_scope+problem_gap → object_scope+problem_gap → problem_gap+theory → problem_gap+object_scope → core_idea+method → qualitative_result+limitation → impact_claim+qualitative_result
iclr-2026-9b8d9a086a72,ICLR,oral,replication_200,6,object_scope+core_idea → core_idea+method → problem_gap+impact_claim → method+impact_claim → experimental_setup+quantitative_result+impact_claim → impact_claim
iclr-2026-747836133659,ICLR,oral,foundation_200,10,object_scope+qualitative_result → problem_gap → core_idea+method+object_scope → method+experimental_setup → experimental_setup → experimental_setup → qualitative_result → qualitative_result+limitation → impact_claim → impact_claim
iclr-2026-4d1471a91635,ICLR,oral,foundation_200,7,object_scope → problem_gap → core_idea → method → experimental_setup → qualitative_result → impact_claim
iclr-2026-24987e898413,ICLR,oral,foundation_200,11,object_scope+problem_gap → problem_gap+limitation → object_scope+problem_gap+core_idea → problem_gap → core_idea+object_scope → core_idea+method → method+core_idea → experimental_setup+quantitative_result → experimental_setup+quantitative_result → experimental_setup+qualitative_result → method+qualitative_result+impact_claim
iclr-2026-a6ddc629568b,ICLR,outstanding,foundation_200,8,object_scope → object_scope+impact_claim → problem_gap → method+experimental_setup → quantitative_result → method+quantitative_result+core_idea → qualitative_result → core_idea+impact_claim
iclr-2026-88c6c50ec3eb,ICLR,outstanding,foundation_200,6,object_scope → object_scope → theory+qualitative_result → theory+qualitative_result → theory → theory+qualitative_result+impact_claim
icml-2026-b8bfc5f3f2ec,ICML,oral,foundation_200,6,object_scope+problem_gap → core_idea+method → method+theory → qualitative_result+impact_claim → experimental_setup+qualitative_result → impact_claim
icml-2026-32a8402c370d,ICML,oral,foundation_200,6,object_scope+method → problem_gap+limitation → core_idea+theory → method+theory → method+theory+limitation → experimental_setup+qualitative_result
icml-2026-95c954ca7cb0,ICML,oral,foundation_200,12,object_scope → problem_gap → problem_gap → problem_gap+qualitative_result → problem_gap → problem_gap+core_idea → core_idea+method → method → method → core_idea+method → method → method+qualitative_result+impact_claim
icml-2026-7207f7ebdc88,ICML,oral,foundation_200,8,object_scope+core_idea → problem_gap+method+object_scope → core_idea+method → method+qualitative_result → method+qualitative_result → experimental_setup+quantitative_result → quantitative_result+impact_claim → impact_claim
icml-2026-734764c3c087,ICML,oral,foundation_200,6,object_scope → problem_gap → core_idea+method → method → quantitative_result → experimental_setup+quantitative_result+qualitative_result
icml-2026-5e9fe0b20cf5,ICML,oral,foundation_200,5,object_scope+problem_gap → core_idea+theory → method → experimental_setup+qualitative_result → impact_claim
icml-2026-cb506acd46ca,ICML,oral,foundation_200,6,object_scope → problem_gap → core_idea+method → method+impact_claim → theory+qualitative_result → qualitative_result+impact_claim
icml-2026-21bf37d1d47a,ICML,oral,foundation_200,7,object_scope+problem_gap → problem_gap → core_idea+method → core_idea+method → method+theory → method+theory → experimental_setup+qualitative_result+impact_claim
icml-2026-e727e683b443,ICML,oral,foundation_200,8,object_scope+core_idea → object_scope → method+theory+core_idea → method+theory → core_idea+method → theory → impact_claim → object_scope+impact_claim
icml-2026-ba706ff6b691,ICML,oral,foundation_200,7,object_scope → problem_gap → problem_gap → core_idea+theory → method → experimental_setup+qualitative_result → quantitative_result
icml-2026-9407bcbd715b,ICML,oral,foundation_200,9,object_scope → theory+impact_claim → problem_gap → core_idea+impact_claim → method+theory → qualitative_result → theory+qualitative_result → theory+impact_claim → method
icml-2026-eb5aba1da40d,ICML,oral,foundation_200,9,object_scope → problem_gap → object_scope → theory → theory → method+theory+impact_claim → qualitative_result → experimental_setup+quantitative_result → qualitative_result+impact_claim
icml-2026-8c4a48256331,ICML,oral,foundation_200,7,object_scope+problem_gap → problem_gap → core_idea+method+object_scope → method+theory → method+impact_claim → quantitative_result+experimental_setup+qualitative_result → impact_claim
icml-2026-c61e72161d50,ICML,oral,foundation_200,7,object_scope+impact_claim → problem_gap → core_idea+method → method+limitation → theory → experimental_setup → quantitative_result+impact_claim
icml-2026-f2ef0d36bc74,ICML,oral,foundation_200,8,object_scope+problem_gap → core_idea+method+experimental_setup → theory+core_idea → qualitative_result+theory → qualitative_result+theory → qualitative_result+theory → qualitative_result+theory → experimental_setup+qualitative_result
icml-2026-121abf6fcacd,ICML,oral,foundation_200,5,object_scope+core_idea → theory+experimental_setup+quantitative_result → problem_gap+theory → theory+qualitative_result → impact_claim
icml-2026-e0395b78826d,ICML,oral,foundation_200,10,object_scope → object_scope → object_scope+problem_gap → core_idea+problem_gap+impact_claim → theory+limitation → method+qualitative_result → quantitative_result+impact_claim → theory+core_idea → method+limitation → experimental_setup
icml-2026-4f5bde46fdf3,ICML,oral,foundation_200,7,object_scope → object_scope → problem_gap → problem_gap → core_idea+method → method → qualitative_result
icml-2026-c53ab491ce08,ICML,oral,foundation_200,7,object_scope → object_scope+problem_gap → problem_gap+core_idea → core_idea+method → method → core_idea+method → qualitative_result+impact_claim
icml-2026-97ca1f9966be,ICML,oral,foundation_200,9,object_scope → problem_gap → object_scope+experimental_setup → core_idea+method → method → method → qualitative_result → theory → impact_claim
icml-2026-ca6b03466916,ICML,oral,foundation_200,7,object_scope → object_scope+core_idea → problem_gap → theory → method+theory → method → quantitative_result+qualitative_result+impact_claim
icml-2026-1e762aa63b55,ICML,oral,foundation_200,7,object_scope+problem_gap → core_idea → experimental_setup+qualitative_result → qualitative_result → experimental_setup+qualitative_result → limitation+qualitative_result → impact_claim
