paper_id,conference,analysis_stratum,title,figures,tables,main_visuals,appendix_visuals,source_status,selected_repository,markdown,json,paper_url
iclr-2026-dc7ecb0275a2,ICLR,oral,Beyond Prompt-Induced Lies: Investigating LLM Deception on Benign Prompts,23,5,7,21,partial_visual_source,https://github.com/Xtra-Computing/LLM-Deception,visual_audits/iclr-2026-dc7ecb0275a2.md,visual_audits/iclr-2026-dc7ecb0275a2.json,https://openreview.net/forum?id=PDBBYwd1LY
iclr-2026-a60437a1dcad,ICLR,oral,BioX-Bridge: Model Bridging for Unsupervised Cross-Modal Knowledge Transfer across Biosignals,14,12,7,19,partial_visual_source,https://github.com/chenqi-li/BioX-Bridge,visual_audits/iclr-2026-a60437a1dcad.md,visual_audits/iclr-2026-a60437a1dcad.json,https://openreview.net/forum?id=1448q0s3zZ
iclr-2026-a58db1cc65db,ICLR,oral,CauKer: Classification Time Series Foundation Models Can Be Pretrained on Synthetic Data,13,13,9,17,partial_visual_source,https://github.com/ShifengXIE/CauKer,visual_audits/iclr-2026-a58db1cc65db.md,visual_audits/iclr-2026-a58db1cc65db.json,https://openreview.net/forum?id=xBW2FIfswU
iclr-2026-fdf9a5fa8f55,ICLR,oral,Common Corpus: The Largest Collection of Ethical Data for LLM Pre-Training,5,14,6,13,no_public_source_found,,visual_audits/iclr-2026-fdf9a5fa8f55.md,visual_audits/iclr-2026-fdf9a5fa8f55.json,https://openreview.net/forum?id=0wSlFpMsGb
iclr-2026-e17153a60ea0,ICLR,oral,Compactness and Consistency: A Conjoint Framework for Deep Graph Clustering,7,10,12,5,partial_visual_source,https://github.com/juweipku/CoCo,visual_audits/iclr-2026-e17153a60ea0.md,visual_audits/iclr-2026-e17153a60ea0.json,https://openreview.net/forum?id=9jdQLmPUHW
iclr-2026-557a29cfb5fa,ICLR,oral,Compositional Diffusion with Guided search for Long-Horizon Planning,7,5,12,0,partial_visual_source,https://github.com/cdgsearch/cdgsearch.github.io,visual_audits/iclr-2026-557a29cfb5fa.md,visual_audits/iclr-2026-557a29cfb5fa.json,https://openreview.net/forum?id=b8avf4F2hn
iclr-2026-87e3cec2f574,ICLR,oral,Cross-Domain Lossy Compression via Rate- and Classification-Constrained Optimal Transport,19,15,6,28,repository_without_visual_source,https://github.com/NamNguyenResearch/Cross_Domain_Lossy_Compression_Original,visual_audits/iclr-2026-87e3cec2f574.md,visual_audits/iclr-2026-87e3cec2f574.json,https://openreview.net/forum?id=mUIGdUTtk2
iclr-2026-023366ecf605,ICLR,oral,CyberGym: Evaluating AI Agents' Real-World Cybersecurity Capabilities at Scale,25,9,10,24,repository_without_visual_source,https://github.com/sunblaze-ucb/cybergym,visual_audits/iclr-2026-023366ecf605.md,visual_audits/iclr-2026-023366ecf605.json,https://openreview.net/forum?id=2YvbLQEdYt
iclr-2026-a8e7c788acec,ICLR,oral,DCFold: Efficient Protein Structure Generation with Single Forward Pass,7,9,11,5,no_public_source_found,,visual_audits/iclr-2026-a8e7c788acec.md,visual_audits/iclr-2026-a8e7c788acec.json,https://openreview.net/forum?id=LMsdys7t1L
iclr-2026-4019795d726c,ICLR,oral,Decentralized Attention Fails Centralized Signals: Rethinking Transformers for Medical Time Series,5,12,10,7,partial_visual_source,https://github.com/Levi-Ackman/TeCh,visual_audits/iclr-2026-4019795d726c.md,visual_audits/iclr-2026-4019795d726c.json,https://openreview.net/forum?id=oZJFY2BQt2
iclr-2026-890e5fac4757,ICLR,oral,Depth Anything 3: Recovering the Visual Space from Any Views,9,14,12,11,partial_visual_source,https://github.com/ByteDance-Seed/Depth-Anything-3,visual_audits/iclr-2026-890e5fac4757.md,visual_audits/iclr-2026-890e5fac4757.json,https://openreview.net/forum?id=yirunib8l8
iclr-2026-f63ee6bf1935,ICLR,oral,DepthLM: Metric Depth from Vision Language Models,10,6,11,5,partial_visual_source,https://github.com/facebookresearch/DepthLM_Official,visual_audits/iclr-2026-f63ee6bf1935.md,visual_audits/iclr-2026-f63ee6bf1935.json,https://openreview.net/forum?id=ObFVZGnSFN
iclr-2026-bdf44f310e82,ICLR,oral,Differentiable Model Predictive Control on the GPU,13,6,8,11,partial_visual_source,https://github.com/ToyotaResearchInstitute/diffmpc,visual_audits/iclr-2026-bdf44f310e82.md,visual_audits/iclr-2026-bdf44f310e82.json,https://openreview.net/forum?id=bFYfV6c9zu
iclr-2026-f34826d49cba,ICLR,oral,Differentially Private Domain Discovery,13,1,3,11,no_public_source_found,,visual_audits/iclr-2026-f34826d49cba.md,visual_audits/iclr-2026-f34826d49cba.json,https://openreview.net/forum?id=yBpzF8hp3J
iclr-2026-d99017a21fe7,ICLR,oral,Diffusion Language Model Knows the Answer Before It Decodes,5,7,7,5,partial_visual_source,https://github.com/pixeli99/Prophet,visual_audits/iclr-2026-d99017a21fe7.md,visual_audits/iclr-2026-d99017a21fe7.json,https://openreview.net/forum?id=g88nt4ieTG
iclr-2026-629630d76e2f,ICLR,oral,Discount Model Search for Quality Diversity Optimization in High-Dimensional Measure Spaces,12,7,4,15,partial_visual_source,https://github.com/icaros-usc/discount-models,visual_audits/iclr-2026-629630d76e2f.md,visual_audits/iclr-2026-629630d76e2f.json,https://openreview.net/forum?id=m6Hv0yZO3n
iclr-2026-159f6b7208d5,ICLR,oral,Distributional Equivalence in Linear Non-Gaussian Latent-Variable Cyclic Causal Models: Characterization and Learning,8,5,3,10,partial_visual_source,https://github.com/MarkDana/Equiv-LiNG-Latent,visual_audits/iclr-2026-159f6b7208d5.md,visual_audits/iclr-2026-159f6b7208d5.json,https://openreview.net/forum?id=b8TlYh6PN6
iclr-2026-0111e4fa230c,ICLR,oral,EditBench: Evaluating LLM Abilities to Perform Real-World Instructed Code Edits,15,8,8,15,repository_without_visual_source,https://github.com/waynchi/editbench,visual_audits/iclr-2026-0111e4fa230c.md,visual_audits/iclr-2026-0111e4fa230c.json,https://openreview.net/forum?id=FtL9eEmU6v
iclr-2026-df99a0fdd618,ICLR,oral,EditVerse: Unifying Image and Video Editing and Generation with In-Context Learning,10,11,13,8,repository_without_visual_source,https://github.com/adobe-research/EditVerse,visual_audits/iclr-2026-df99a0fdd618.md,visual_audits/iclr-2026-df99a0fdd618.json,https://openreview.net/forum?id=blJXE07r7I
iclr-2026-421310926c11,ICLR,oral,EigenBench: A Comparative Behavioral Measure of Value Alignment,10,18,7,21,exact_visual_source,https://github.com/jchang153/EigenBench,visual_audits/iclr-2026-421310926c11.md,visual_audits/iclr-2026-421310926c11.json,https://openreview.net/forum?id=fm79KXJIUQ
iclr-2026-99e6f2b9fab2,ICLR,oral,EmotionThinker: Prosody-Aware Reinforcement Learning for Explainable Speech Emotion Reasoning,9,8,11,6,partial_visual_source,https://github.com/dingdongwang/EmotionThinker,visual_audits/iclr-2026-99e6f2b9fab2.md,visual_audits/iclr-2026-99e6f2b9fab2.json,https://openreview.net/forum?id=wbttgzp7MT
iclr-2026-de09352af556,ICLR,oral,Enhancing Generative Auto-bidding with Offline Reward Evaluation and Policy Search,13,13,10,16,no_public_source_found,,visual_audits/iclr-2026-de09352af556.md,visual_audits/iclr-2026-de09352af556.json,https://openreview.net/forum?id=kMuQBgPIdg
iclr-2026-ab553a040c74,ICLR,oral,Every Language Model Has a Forgery-Resistant Signature,11,2,8,5,partial_visual_source,https://github.com/negrinho/sane_tikz,visual_audits/iclr-2026-ab553a040c74.md,visual_audits/iclr-2026-ab553a040c74.json,https://openreview.net/forum?id=vLFqOoMBol
iclr-2026-2a0b369c60a9,ICLR,oral,Exploratory Diffusion Model for Unsupervised Reinforcement Learning,9,6,5,10,partial_visual_source,https://github.com/yingchengyang/ExDM,visual_audits/iclr-2026-2a0b369c60a9.md,visual_audits/iclr-2026-2a0b369c60a9.json,https://openreview.net/forum?id=k0Kb1ynFbt
iclr-2026-6962fe3d904f,ICLR,oral,Extending Sequence Length is Not All You Need: Effective Integration of Multimodal Signals for Gene Expression Prediction,6,16,8,14,repository_without_visual_source,https://github.com/yangzhao1230/Prism,visual_audits/iclr-2026-6962fe3d904f.md,visual_audits/iclr-2026-6962fe3d904f.json,https://openreview.net/forum?id=wwPSfcf5Pj
iclr-2026-927309b0632d,ICLR,oral,FALCON: Few-step Accurate Likelihoods for Continuous Flows,17,6,12,11,partial_visual_source,,visual_audits/iclr-2026-927309b0632d.md,visual_audits/iclr-2026-927309b0632d.json,https://openreview.net/forum?id=FbssShlI4N
iclr-2026-ee69851b0726,ICLR,oral,FIRE: Frobenius-Isometry Reinitialization for Balancing the Stability–Plasticity Tradeoff,8,10,5,13,partial_visual_source,https://github.com/isaac7778/FIRE,visual_audits/iclr-2026-ee69851b0726.md,visual_audits/iclr-2026-ee69851b0726.json,https://openreview.net/forum?id=CfZLxT3zIZ
iclr-2026-d930d9c23cc7,ICLR,oral,FRABench and UFEval: Unified Fine-grained Evaluation with Task and Aspect Generalization,23,75,12,86,repository_without_visual_source,https://github.com/ALEX-nlp/UFEval,visual_audits/iclr-2026-d930d9c23cc7.md,visual_audits/iclr-2026-d930d9c23cc7.json,https://openreview.net/forum?id=7WdY3Cojy9
iclr-2026-b93abeea95e9,ICLR,oral,Gaia2: Benchmarking LLM Agents on Dynamic and  Asynchronous Environments,19,7,13,13,partial_visual_source,https://github.com/facebookresearch/meta-agents-research-environments,visual_audits/iclr-2026-b93abeea95e9.md,visual_audits/iclr-2026-b93abeea95e9.json,https://openreview.net/forum?id=9gw03JpKK4
iclr-2026-ddc69d973093,ICLR,oral,Gaussian certified unlearning in high dimensions: A hypothesis testing approach,14,1,6,9,no_public_source_found,,visual_audits/iclr-2026-ddc69d973093.md,visual_audits/iclr-2026-ddc69d973093.json,https://openreview.net/forum?id=0FJYicpOj0
iclr-2026-d2112f671397,ICLR,oral,Generating metamers of human scene understanding,16,0,5,11,partial_visual_source,https://github.com/rainarit/metamergen,visual_audits/iclr-2026-d2112f671397.md,visual_audits/iclr-2026-d2112f671397.json,https://openreview.net/forum?id=cSDXx8V6K9
iclr-2026-9a1a4fec2317,ICLR,oral,Generative Human Geometry Distribution,21,5,14,12,partial_visual_source,https://github.com/Generative-Human-Geometry-Distribution/web.github.io,visual_audits/iclr-2026-9a1a4fec2317.md,visual_audits/iclr-2026-9a1a4fec2317.json,https://openreview.net/forum?id=YsQM7sQl0j
iclr-2026-4e1d7790186d,ICLR,oral,Generative Universal Verifier as Multimodal Meta-Reasoner,10,7,10,7,repository_without_visual_source,https://github.com/Cominclip/OmniVerifier,visual_audits/iclr-2026-4e1d7790186d.md,visual_audits/iclr-2026-4e1d7790186d.json,https://openreview.net/forum?id=DM0Y0oL33T
iclr-2026-dc06dcfe9933,ICLR,oral,Global Resolution: Optimal Multi-Draft Speculative Sampling via Convex Optimization,5,5,3,7,no_public_source_found,,visual_audits/iclr-2026-dc06dcfe9933.md,visual_audits/iclr-2026-dc06dcfe9933.json,https://openreview.net/forum?id=gpsczXOsHn
iclr-2026-5d471305c6f6,ICLR,oral,HATSolver: Learning Gröbner Bases with Hierarchical Attention Transformers,6,12,5,13,no_public_source_found,,visual_audits/iclr-2026-5d471305c6f6.md,visual_audits/iclr-2026-5d471305c6f6.json,https://openreview.net/forum?id=5C3LljOEGC
iclr-2026-c4f15a7f203b,ICLR,oral,Half-order Fine-Tuning for Diffusion Model: A Recursive Likelihood Ratio Optimizer,11,10,11,10,partial_visual_source,https://github.com/RTkenny/RLR-Optimizer,visual_audits/iclr-2026-c4f15a7f203b.md,visual_audits/iclr-2026-c4f15a7f203b.json,https://openreview.net/forum?id=AZ6lqcvHLX
iclr-2026-db71b40c7495,ICLR,oral,Hallucination Begins Where Saliency Drops,14,6,7,13,partial_visual_source,https://github.com/zhangbaijin/LVLMs-Saliency,visual_audits/iclr-2026-db71b40c7495.md,visual_audits/iclr-2026-db71b40c7495.json,https://openreview.net/forum?id=sjnErRHXf3
iclr-2026-9800a26d2608,ICLR,oral,High-dimensional Analysis of Synthetic Data Selection,2,13,4,11,partial_visual_source,https://github.com/Rezaei-Parham/Synthetic-Selection,visual_audits/iclr-2026-9800a26d2608.md,visual_audits/iclr-2026-9800a26d2608.json,https://openreview.net/forum?id=Y54P2BBPPh
iclr-2026-51419d6897b2,ICLR,oral,How Reliable is Language Model Micro-Benchmarking?,17,5,7,15,partial_visual_source,https://github.com/dill-lab/micro-benchmarking-reliability,visual_audits/iclr-2026-51419d6897b2.md,visual_audits/iclr-2026-51419d6897b2.json,https://openreview.net/forum?id=cReExMQLiK
iclr-2026-0c8eb54755cf,ICLR,oral,Hubble: a Model Suite to Advance the Study of LLM Memorization,23,15,4,34,partial_visual_source,allegro-lab/hubble,visual_audits/iclr-2026-0c8eb54755cf.md,visual_audits/iclr-2026-0c8eb54755cf.json,https://openreview.net/forum?id=ZfdnZhOP0k
iclr-2026-c9604bfa6042,ICLR,oral,"Huxley-G\""odel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine",1,4,4,1,repository_without_visual_source,https://github.com/metauto-ai/HGM,visual_audits/iclr-2026-c9604bfa6042.md,visual_audits/iclr-2026-c9604bfa6042.json,https://openreview.net/forum?id=T0EiEuhOOL
iclr-2026-7f071490c87d,ICLR,oral,Hyperparameter Trajectory Inference with Conditional Lagrangian Optimal Transport,5,15,10,10,partial_visual_source,https://github.com/harrya32/hyperparameter-trajectory-inference,visual_audits/iclr-2026-7f071490c87d.md,visual_audits/iclr-2026-7f071490c87d.json,https://openreview.net/forum?id=P5B97gZwRb
iclr-2026-2a842dd4a787,ICLR,oral,Improving Diffusion Models for Class-imbalanced Training Data via Capacity Manipulation,16,22,11,27,repository_without_visual_source,https://github.com/Feng-Hong/ImbDiff-CM,visual_audits/iclr-2026-2a842dd4a787.md,visual_audits/iclr-2026-2a842dd4a787.json,https://openreview.net/forum?id=wSGle6ag5I
iclr-2026-6a94cca2daa0,ICLR,oral,In-Place Test-Time Training,4,8,7,5,partial_visual_source,https://github.com/ByteDance-Seed/In-Place-TTT,visual_audits/iclr-2026-6a94cca2daa0.md,visual_audits/iclr-2026-6a94cca2daa0.json,https://openreview.net/forum?id=dTWfCLSoyl
iclr-2026-62e38d16d6a3,ICLR,oral,In-the-Flow Agentic System Optimization for Effective Planning and Tool Use,12,4,13,3,partial_visual_source,https://github.com/lupantech/AgentFlow,visual_audits/iclr-2026-62e38d16d6a3.md,visual_audits/iclr-2026-62e38d16d6a3.json,https://openreview.net/forum?id=Mf5AleTUVK
iclr-2026-b879ca6dd1a4,ICLR,oral,InfoNCE Induces Gaussian Distribution,11,2,6,7,partial_visual_source,https://github.com/rbetser/InfoNCE-induces-Gaussian-distribution,visual_audits/iclr-2026-b879ca6dd1a4.md,visual_audits/iclr-2026-b879ca6dd1a4.json,https://openreview.net/forum?id=BlSH7gNQSq
iclr-2026-3c7fde53bdb5,ICLR,oral,InfoTok: Adaptive Discrete Video Tokenizer via Information-Theoretic Compression,6,6,7,5,partial_visual_source,https://github.com/YWolfeee/InfoTok,visual_audits/iclr-2026-3c7fde53bdb5.md,visual_audits/iclr-2026-3c7fde53bdb5.json,https://openreview.net/forum?id=JEYWpFGzvn
iclr-2026-64b7228ce25e,ICLR,oral,Information Shapes Koopman Representation,22,12,8,26,partial_visual_source,https://github.com/Wenxuan52/InformationKoopman,visual_audits/iclr-2026-64b7228ce25e.md,visual_audits/iclr-2026-64b7228ce25e.json,https://openreview.net/forum?id=Szh0ELyQxL
iclr-2026-0853a1e684f7,ICLR,oral,Instilling an Active Mind in Avatars via Cognitive Simulation,13,6,9,10,partial_visual_source,https://github.com/omnihuman-lab/omnihuman-lab.github.io,visual_audits/iclr-2026-0853a1e684f7.md,visual_audits/iclr-2026-0853a1e684f7.json,https://openreview.net/forum?id=80JylHgQn1
iclr-2026-9d74a65ca00d,ICLR,oral,Intrinsic Entropy of Context Length Scaling in LLMs,19,2,7,14,partial_visual_source,https://github.com/JingzheShi/NLPCtlScalingAndBounds,visual_audits/iclr-2026-9d74a65ca00d.md,visual_audits/iclr-2026-9d74a65ca00d.json,https://openreview.net/forum?id=vnipyA8c9V
iclr-2026-aa041113be40,ICLR,oral,Invisible Safety Threat: Malicious Finetuning for LLM via Steganography,9,9,6,12,exact_visual_source,https://arxiv.org/abs/2603.08104,visual_audits/iclr-2026-aa041113be40.md,visual_audits/iclr-2026-aa041113be40.json,https://openreview.net/forum?id=6cEPDGaShH
iclr-2026-32bffb4a35b9,ICLR,oral,Is it Thinking or Cheating?  Detecting Implicit Reward Hacking by Measuring Reasoning Effort,31,2,14,19,no_public_source_found,,visual_audits/iclr-2026-32bffb4a35b9.md,visual_audits/iclr-2026-32bffb4a35b9.json,https://openreview.net/forum?id=Gk7gLAtVDO
iclr-2026-776ac69ed891,ICLR,oral,"It's All Just Vectorization: einx, a Universal Notation for Tensor Operations",0,4,2,2,repository_without_visual_source,https://github.com/fferflo/einx,visual_audits/iclr-2026-776ac69ed891.md,visual_audits/iclr-2026-776ac69ed891.json,https://openreview.net/forum?id=QqvQ3iAdpC
iclr-2026-c6856f20a2f5,ICLR,oral,LLM Fingerprinting via Semantically Conditioned Watermarks,12,9,5,16,exact_visual_source,https://arxiv.org/abs/2505.16723,visual_audits/iclr-2026-c6856f20a2f5.md,visual_audits/iclr-2026-c6856f20a2f5.json,https://openreview.net/forum?id=t38nZqqi3Z
iclr-2026-4ddcea898ef4,ICLR,oral,Latent Fourier Transform,13,12,6,19,repository_without_visual_source,https://github.com/maswang32/latentfouriertransform,visual_audits/iclr-2026-4ddcea898ef4.md,visual_audits/iclr-2026-4ddcea898ef4.json,https://openreview.net/forum?id=ogMxCjdCCq
iclr-2026-3f0f7132b565,ICLR,oral,Latent Speech-Text Transformer,6,13,11,8,partial_visual_source,https://github.com/facebookresearch/lst,visual_audits/iclr-2026-3f0f7132b565.md,visual_audits/iclr-2026-3f0f7132b565.json,https://openreview.net/forum?id=krGpQzo8Mz
iclr-2026-eb4983c11917,ICLR,oral,Learning to See Before Seeing: Demystifying LLM Visual Priors from Language Pre-training,14,6,10,10,partial_visual_source,https://arxiv.org/abs/2509.26625,visual_audits/iclr-2026-eb4983c11917.md,visual_audits/iclr-2026-eb4983c11917.json,https://openreview.net/forum?id=pfw176o1YJ
iclr-2026-9731e2f39bcc,ICLR,oral,Learning to Segment for Vehicle Routing Problems,12,16,12,16,repository_without_visual_source,https://github.com/mit-wu-lab/learning-to-segment,visual_audits/iclr-2026-9731e2f39bcc.md,visual_audits/iclr-2026-9731e2f39bcc.json,https://openreview.net/forum?id=pN261iTKvr
iclr-2026-f37e773ebaa6,ICLR,oral,Let Features Decide Their Own Solvers: Hybrid Feature Caching for Diffusion Transformers,15,5,13,7,partial_visual_source,https://darrenzheng303.github.io/HyCa.github.io/,visual_audits/iclr-2026-f37e773ebaa6.md,visual_audits/iclr-2026-f37e773ebaa6.json,https://openreview.net/forum?id=URbsHlTK8c
iclr-2026-df25bb895158,ICLR,oral,Locality-aware Parallel Decoding for Efficient Autoregressive Image Generation,14,7,12,9,partial_visual_source,https://github.com/mit-han-lab/lpd,visual_audits/iclr-2026-df25bb895158.md,visual_audits/iclr-2026-df25bb895158.json,https://openreview.net/forum?id=h06l9w1clt
iclr-2026-51378f92df54,ICLR,oral,LongWriter-Zero: Mastering Ultra-Long Text Generation via Reinforcement Learning,6,5,7,4,repository_without_visual_source,https://github.com/THUDM/LongWriter,visual_audits/iclr-2026-51378f92df54.md,visual_audits/iclr-2026-51378f92df54.json,https://openreview.net/forum?id=JWx4DI2N8k
iclr-2026-247f0a285827,ICLR,oral,LoongRL: Reinforcement Learning for Advanced Reasoning over Long Contexts,9,10,10,9,exact_visual_source,https://arxiv.org/abs/2510.19363,visual_audits/iclr-2026-247f0a285827.md,visual_audits/iclr-2026-247f0a285827.json,https://openreview.net/forum?id=o29E01Q6bv
iclr-2026-be5b1d259689,ICLR,oral,MC-Search: Evaluating and Enhancing Multimodal Agentic Search with Structured Long Reasoning Chains,10,14,9,15,partial_visual_source,https://github.com/YennNing/MC-Search,visual_audits/iclr-2026-be5b1d259689.md,visual_audits/iclr-2026-be5b1d259689.json,https://openreview.net/forum?id=JEGDp1E4OH
iclr-2026-d548949c4ba4,ICLR,oral,Mastering Sparse CUDA Generation through Pretrained Models and Deep Reinforcement Learning,8,20,8,20,repository_without_visual_source,https://github.com/QiWu-NCIC/SparseRL,visual_audits/iclr-2026-d548949c4ba4.md,visual_audits/iclr-2026-d548949c4ba4.json,https://openreview.net/forum?id=VdLEaGPYWT
iclr-2026-b22813abf7f0,ICLR,oral,MemAgent: Reshaping Long-Context LLM with Multi-Conv RL-based Memory Agent,10,11,13,8,partial_visual_source,https://github.com/BytedTsinghua-SIA/MemAgent,visual_audits/iclr-2026-b22813abf7f0.md,visual_audits/iclr-2026-b22813abf7f0.json,https://openreview.net/forum?id=k5nIOvYGCL
iclr-2026-649b366699a1,ICLR,oral,MetaEmbed: Scaling Multimodal Retrieval at Test-Time with Flexible Late Interaction,4,6,7,3,repository_without_visual_source,https://github.com/facebookresearch/MetaEmbed,visual_audits/iclr-2026-649b366699a1.md,visual_audits/iclr-2026-649b366699a1.json,https://openreview.net/forum?id=yKDqg9HwZX
iclr-2026-a9967117d305,ICLR,oral,Mixture-of-Experts Can Surpass Dense LLMs Under Strictly Equal Resource,5,17,6,16,repository_without_visual_source,https://github.com/kamanphoebe/moe-surpass-dense.github.io,visual_audits/iclr-2026-a9967117d305.md,visual_audits/iclr-2026-a9967117d305.json,https://openreview.net/forum?id=oIdzliJAeA
iclr-2026-b7a66e10bf69,ICLR,oral,Monocular Normal Estimation via Shading Sequence Estimation,6,6,12,0,partial_visual_source,https://github.com/LMozart/ICLR2026-RoSE,visual_audits/iclr-2026-b7a66e10bf69.md,visual_audits/iclr-2026-b7a66e10bf69.json,https://openreview.net/forum?id=d7itDxMD1n
iclr-2026-f448909bdd66,ICLR,oral,MotionStream: Real-Time Video Generation with Interactive Motion Controls,14,8,12,10,repository_without_visual_source,https://github.com/aigc-apps/VideoX-Fun,visual_audits/iclr-2026-f448909bdd66.md,visual_audits/iclr-2026-f448909bdd66.json,https://openreview.net/forum?id=v1DKz5Vxr7
iclr-2026-dba10825e0af,ICLR,oral,MrRoPE: Mixed-radix Rotary Position Embedding,8,5,9,4,partial_visual_source,https://github.com/mattian7/mrRoPE,visual_audits/iclr-2026-dba10825e0af.md,visual_audits/iclr-2026-dba10825e0af.json,https://openreview.net/forum?id=1J63FJYJKg
iclr-2026-009a09dc4347,ICLR,oral,Multiplayer Nash Preference Optimization,1,9,5,5,repository_without_visual_source,https://github.com/smiles724/MNPO,visual_audits/iclr-2026-009a09dc4347.md,visual_audits/iclr-2026-009a09dc4347.json,https://openreview.net/forum?id=x7aLhLMVn1
iclr-2026-fd78f005be2e,ICLR,oral,Neon: Negative Extrapolation From Self-Training Improves Image Generation,33,2,10,25,partial_visual_source,https://github.com/VITA-Group/Neon,visual_audits/iclr-2026-fd78f005be2e.md,visual_audits/iclr-2026-fd78f005be2e.json,https://openreview.net/forum?id=kpLRYtPGt3
iclr-2026-963229d0140f,ICLR,oral,NextStep-1: Toward Autoregressive Image Generation with Continuous Tokens at Scale,9,9,10,8,partial_visual_source,https://github.com/stepfun-ai/NextStep-1,visual_audits/iclr-2026-963229d0140f.md,visual_audits/iclr-2026-963229d0140f.json,https://openreview.net/forum?id=Ndnwg9oOQO
iclr-2026-a52a988a4775,ICLR,oral,Non-Convex Federated Optimization under Cost-Aware Client Selection,12,5,3,14,no_public_source_found,,visual_audits/iclr-2026-a52a988a4775.md,visual_audits/iclr-2026-a52a988a4775.json,https://openreview.net/forum?id=FnaDv6SMd9
iclr-2026-3c3e3a191645,ICLR,oral,On the Generalization Capacities of MLLMs for Spatial Intelligence,7,6,12,1,partial_visual_source,https://github.com/Vegetebird/CA-MLLM,visual_audits/iclr-2026-3c3e3a191645.md,visual_audits/iclr-2026-3c3e3a191645.json,https://openreview.net/forum?id=DE5ZJtR4bg
iclr-2026-cdc551019493,ICLR,oral,One for Two: A Unified Framework for Imbalanced Graph Classification via Dynamic Balanced Prototype,16,24,11,29,partial_visual_source,https://github.com/ALWAYS1815/iclr_UniImb,visual_audits/iclr-2026-cdc551019493.md,visual_audits/iclr-2026-cdc551019493.json,https://openreview.net/forum?id=MraQM41SNS
