paper_id,conference,title,discovery_status,discovered_repository,discovery_method,discovery_evidence,default_branch,candidate_repositories,candidate_scores,search_repositories,visual_source_files,best_pdf_context,text_path
iclr-2026-0e6979a1fd18,ICLR,SANA-Video: Efficient Video Generation with Block Linear Diffusion Transformer,partial_visual_source,NVlabs/Sana,github_title_search_verified,"metadata_title_exact=0; readme_title_exact=1; token_recall=1.000; anchors=sana; matched=block,diffusion,efficient,generation,linear,sana,transformer,video",main,black-forest-labs/flux|huggingface/accelerate,0|0,NVlabs/Sana|PrunaAI/awesome-ai-efficiency|Mutual-Luo/Awesome-Sparse-Attention-Video-Diffusion|hit-perfect/Awesome-Video-World-Models|QuenithAI/Video-Generation-Paper-List,tools/metrics/dpg_bench/dpg_bench.csv|tools/metrics/dpg_bench/metadata.json|tools/metrics/geneval/environment.yml|tools/metrics/geneval/annotations/annotations_clip.csv|tools/metrics/geneval/annotations/annotations_sdv2.csv|tools/metrics/image_reward/benchmark-prompts-dict.json|tools/metrics/geneval/annotations/annotations_if-xl.csv,"Jin Zhou, Jiangfeng Xiong, Xin Li, Bo Wu, Jianwei Zhang, et al. Hunyuanvideo: A systematic framework for large video generative models. arXiv preprint arXiv:2412.03603, 2024. Kuaishou. Kling ai. https://klingai.kuaishou.com/, 2024. Black Forest Labs. Flux. https://github.com/black-forest-labs/flux, 2024. 12 Published as a conference paper at ICLR 2026 Muyang Li, Yujun Lin, Zhekai Zhang, Tianle Cai, Xiuyu Li, Junxian Guo, Enze Xie, Chenlin Meng, Jun-Yan Zhu, and Song Han. Svdquant: Absorbing outlie",corpus/text/iclr-2026-0e6979a1fd18.txt
iclr-2026-0f7ec564e69d,ICLR,Premise Selection for a Lean Hammer,repository_without_visual_source,hanwenzhu/premise-selection,explicit_pdf_url,"metadata_title_exact=0; readme_title_exact=1; token_recall=1.000; anchors=premise,selection; matched=hammer,lean,premise,selection; explicit_code_context=1",main,hanwenzhu/premise-selection|JOSHCLUNE/LeanHammer,20|14,,,"kov, 2013), E (Schulz et al., 2019), and Zipperposition (Vukmirović et al., 2022), or SMT solvers like Z3 (de Moura & Bjørner, 2008) and cvc5 (Barbosa et al., 2022). Finally, if the external prover succeeds in proving 1 L EAN P REMISE is available at https://github.com/hanwenzhu/premise-selection and L EAN - H AMMER is available at https://github.com/JOSHCLUNE/LeanHammer. 1 Published as a conference paper at ICLR 2026 the goal, it reports back the specific premises used, from which a formal p",corpus/text/iclr-2026-0f7ec564e69d.txt
iclr-2026-0f9a4f0ba34a,ICLR,Stable Video Infinity: Infinite-Length Video Generation with Error Recycling,no_public_source_found,,,,,,,,,,corpus/text/iclr-2026-0f9a4f0ba34a.txt
iclr-2026-106be5e431a2,ICLR,Uncover Underlying Correspondence for Robust Multi-view Clustering,repository_without_visual_source,XLearning-SCU/2026-ICLR-CorreGen,explicit_pdf_url,"metadata_title_exact=1; readme_title_exact=1; token_recall=1.000; anchors=clustering,correspondence,multi,robust,uncover,underlying; matched=clustering,correspondence,multi,robust,uncover,underlying,view; explicit_code_context=1",main,XLearning-SCU/2026-ICLR-CorreGen,14,,,"updated to maximize the expected log-likelihood. Extensive ex- periments on both synthetic and real-world noisy datasets demonstrate that our method significantly improves clustering robustness. The code is available at https://github.com/XLearning-SCU/2026-ICLR-CorreGen. 1 I NTRODUCTION Describing the same object from multiple perspectives (Yan et al., 2021) or modalities (Sharma et al., 2018), multi-view data have become increasingly prevalent in real-world applications. To exploit such data, contrastive multi-view",corpus/text/iclr-2026-106be5e431a2.txt
iclr-2026-12331806f03c,ICLR,Partition Generative Modeling: Masked Modeling Without Masks,repository_without_visual_source,jdeschena/pgm,github_title_search_verified,"metadata_title_exact=0; readme_title_exact=1; token_recall=1.000; anchors=generative,modeling,partition; matched=generative,masked,masks,modeling,partition,without",main,,,nkalyanv99/UNI-D2|jdeschena/pgm|AAAAA-Academia-Attractions/Discrete-Diffusion,,,corpus/text/iclr-2026-12331806f03c.txt
iclr-2026-159f6b7208d5,ICLR,Distributional Equivalence in Linear Non-Gaussian Latent-Variable Cyclic Causal Models: Characterization and Learning,repository_without_visual_source,MarkDana/Equiv-LiNG-Latent,github_title_search_verified,"metadata_title_exact=1; readme_title_exact=1; token_recall=1.000; anchors=causal,cyclic,distributional,equivalence,gaussian,latent; matched=causal,characterization,cyclic,distributional,equivalence,gaussian,latent,linear,non,variable",main,gilgarmish/oica|jinshi201/LaHiCaSl|Songyao-Jin/PO-LiNGAM,0|0|0,MarkDana/Equiv-LiNG-Latent,,"methods are more likely to be violated, making them less effective at recovering these structures. In contrast, with a structural-assumption-free design, glvLiNG avoids such model misspecification, and still allows the recovery of these structures. 2 https://github.com/gilgarmish/oica 3 https://github.com/jinshi201/LaHiCaSl 4 https://github.com/Songyao-Jin/PO-LiNGAM 46 Published as a conference paper at ICLR 2026",corpus/text/iclr-2026-159f6b7208d5.txt
iclr-2026-198f06993051,ICLR,TTSDS2: Resources and Benchmark for Evaluating Human-Quality Text to Speech Systems,exact_visual_source,ttsds/pipeline,explicit_pdf_url,"metadata_title_exact=0; readme_title_exact=0; token_recall=0.333; anchors=ttsds2; matched=benchmark,speech,ttsds2; explicit_code_context=1",main,ttsds/pipeline|RVC-Boss/GPT-SoVITS|suno-ai/bark,12|0|0,,scripts/figures/create_table.py|scripts/figures/create_figures.py|scripts/figures/utils.py|scripts/figures/run_all.py|scripts/figures/create_flower.py|scripts/figures/analyze_speaker_similarity.py,"ate the collection process as can be seen in Algorithm 1, and which we describe in detail in the following section. Here is the updated pipeline section with the requested pseudo-code and additional details. 4.1 P IPELINE The TTSDS2 pipeline, available at github.com/ttsds/pipeline , can be used to rebuild the multilingual dataset regularly. The process is outlined in Algorithm 1 and detailed below. The pipeline consists of the following automated steps: (i) Data Scraping: Ten keywords (see line 2 of Algorithm 1) are translated for each",corpus/text/iclr-2026-198f06993051.txt
iclr-2026-247f0a285827,ICLR,LoongRL: Reinforcement Learning for Advanced Reasoning over Long Contexts,partial_visual_source,rStar-RL/LoongRL,github_title_search_verified,"metadata_title_exact=1; readme_title_exact=1; token_recall=1.000; anchors=loongrl; matched=advanced,contexts,long,loongrl,over,reasoning,reinforcement",main,,,rStar-RL/LoongRL|Wangmerlyn/KeyChain|SEUML/awesome-foundation-model-generalization|Doris5102023/Post-Training-Article|yingchengyang/Reinforcement-Learning-Papers,verl/verl/trainer/config/evaluation.yaml,,corpus/text/iclr-2026-247f0a285827.txt
iclr-2026-24987e898413,ICLR,mCLM: A Modular Chemical Language Model that Generates Functional and Makeable Molecules,repository_without_visual_source,blender-nlp/mCLM,github_title_search_verified,"metadata_title_exact=0; readme_title_exact=1; token_recall=1.000; anchors=mclm; matched=chemical,functional,generates,language,makeable,mclm,modular,molecules,that",main,maplightrx/MapLight-TDC,0,blender-nlp/mCLM|hhw11/AI-for-science-paper-oral-and-spotlight-|inoue0426/Paper-reading,,"ARM, ChemBERTA-2, and a GNN—for ensemble learning. • FARM (Nguyen et al., 2024a): A SMILES-based BERT model trained with functional group-aware tokenization. † https://tdcommons.ai/benchmark/admet_group/overview/ ‡ https://github.com/maplightrx/MapLight-TDC 25 Published as a conference paper at ICLR 2026 • ChemBERTA-2 (Ahmad et al., 2022): A large-scale transformer model trained on millions of canonical SMILES sequences. • G",corpus/text/iclr-2026-24987e898413.txt
iclr-2026-255bea54f97f,ICLR,Probabilistic Kernel Function for Fast Angle Testing,repository_without_visual_source,KejingLu-810/KS,explicit_pdf_url,metadata_title_exact=0; readme_title_exact=0; token_recall=0.000; anchors=; matched=; explicit_code_context=1,main,KejingLu-810/KS,14,,,"proximate Nearest Neighbor Search (ANNS) and demonstrate that our approach achieves a 2.5×–3× higher query-per-second (QPS) throughput compared to the widely-used graph-based search algorithm HNSW. Our code and data are available at https://github.com/KejingLu-810/KS. 1 I NTRODUCTION Vector-based similarity search is a core problem with broad applications in machine learning, data mining, and information retrieval. It involves retrieving data points in a high-dimensional space that are most similar to a given query ve",corpus/text/iclr-2026-255bea54f97f.txt
iclr-2026-2a0b369c60a9,ICLR,Exploratory Diffusion Model for Unsupervised Reinforcement Learning,repository_without_visual_source,yingchengyang/ExDM,explicit_pdf_url,"metadata_title_exact=1; readme_title_exact=1; token_recall=1.000; anchors=diffusion,exploratory,reinforcement,unsupervised; matched=diffusion,exploratory,reinforcement,unsupervised; explicit_code_context=1",main,yingchengyang/ExDM|philippe-eecs/IDQL|Alescontrela/score_matching_rl|mazpie/mastering-urlb|rll-research/cic|rll-research/url_benchmark|Rooshy-yang/BeCL|thu-ml/CEURL,14|9|-3|-3|-3|-3|-3|-3,,,"at ExDM achieves superior exploration and faster downstream adapta- tion, establishing new state-of-the-art results, particularly in environments with complex structure or cross-embodiment settings. The source code is provided at https://github.com/yingchengyang/ExDM. 1 I NTRODUCTION Developing agents that generalize across diverse tasks remains a central challenge in reinforcement learning (RL). Unsupervised RL (URL) (Eysenbach et al., 2018; Laskin et al., 2021) aims to address this by pre-training in reward-free en",corpus/text/iclr-2026-2a0b369c60a9.txt
iclr-2026-2a842dd4a787,ICLR,Improving Diffusion Models for Class-imbalanced Training Data via Capacity Manipulation,no_public_source_found,,,,,Feng-Hong/ImbDiff-CM|toshas/torch-fidelity,2|-3,Feng-Hong/ImbDiff-CM,,"ibration (OC) (Zhang et al., 2024) further improved the generation quality of minority classes through knowledge transfer from majorities. ∗ Work partially done during Feng Hong’s internship at Microsoft Research Asia. 1 Code: https://github.com/Feng-Hong/ImbDiff-CM. 1 Published as a conference paper at ICLR 2026 In this paper, we explore an orthogonal perspective: model capacity allocation2 . Our motivation stems from the empirical observation that majority c",corpus/text/iclr-2026-2a842dd4a787.txt
iclr-2026-2f4f189e96a1,ICLR,Vid-LLM: A Compact Video-based 3D Multimodal LLM with Reconstruction–Reasoning Synergy,no_public_source_found,,,,,,,,,,corpus/text/iclr-2026-2f4f189e96a1.txt
iclr-2026-31327f1d20e6,ICLR,SimuHome: A Temporal- and Environment-Aware Benchmark for Smart Home LLM Agents,repository_without_visual_source,holi-lab/SimuHome,explicit_pdf_url,"metadata_title_exact=1; readme_title_exact=1; token_recall=1.000; anchors=simuhome; matched=agents,aware,benchmark,environment,home,llm,simuhome,smart,temporal; explicit_code_context=1",main,holi-lab/SimuHome,17,,,"and fine-tuning. These findings suggest that SimuHome’s time- accelerated simulation could serve as an environment for agents to pre-validate their actions before committing them to the real world. Code and data are available at https://github.com/holi-lab/SimuHome/. 1 I NTRODUCTION Smart home agents have long been a central research topic for tool agents. Systems such as Amazon Alexa and Google Home are among the earliest tool agents commercialized at scale, yet many everyday household requests remain beyond th",corpus/text/iclr-2026-31327f1d20e6.txt
iclr-2026-322bd0a9b17a,ICLR,TileLang: Bridge Programmability and Performance in Modern Neural Kernels,exact_visual_source,tile-ai/tilelang,explicit_pdf_url,"metadata_title_exact=0; readme_title_exact=0; token_recall=0.429; anchors=tilelang; matched=kernels,performance,tilelang; explicit_code_context=1",main,tile-ai/tilelang|deepseek-ai/FlashMLA|HazyResearch/ThunderKittens|mit-han-lab/Block-Sparse-Attention|NVIDIA/cutlass|pytorch/helion|ROCm/aiter|ROCm/composable_|triton-lang/triton,17|0|0|0|0|0|0|0|0,,tilelang/tools/plot_layout.py|tilelang/analysis/layout_visual.py|examples/visual_layout_inference/visual_layout_inference.py|examples/plot_layout/layout_swizzle.py|examples/plot_layout/layout_transform.py|examples/plot_layout/fragment_mma_load_a.py|examples/plot_layout/fragment_mfma_load_a.py|examples/blockscaled_gemm_sm100/figures/blockscaled_variants.svg|examples/blockscaled_gemm_sm100/figures/blockscaled_data_path.svg|examples/blockscaled_gemm_sm100/figures/blockscaled_sf_layout.svg|examples/blockscaled_gemm_sm100/figures/blockscaled_warp_specialization.svg,"T ILE L ANG delivers 1.08×–10.58× speedups over Triton on NVIDIA H100 (3.02× on average) and 1.01×–11.56× on AMD GPUs (2.65× on average), effectively bridging programmability and performance. Our code is available at https://github.com/tile-ai/tilelang. 1 I NTRODUCTION The rapid progress of modern neural networks has driven a growing demand for highly optimized compute kernels, particularly for memory-bound operations such as attention. In recent years, modern attention algorithms such as Multi-Head A",corpus/text/iclr-2026-322bd0a9b17a.txt
iclr-2026-32bffb4a35b9,ICLR,Is it Thinking or Cheating?  Detecting Implicit Reward Hacking by Measuring Reasoning Effort,no_public_source_found,,,,,,,,,,corpus/text/iclr-2026-32bffb4a35b9.txt
iclr-2026-3b8d372687ad,ICLR,Veritas: Generalizable Deepfake Detection via Pattern-Aware Reasoning,exact_visual_source,EricTan7/Veritas,explicit_pdf_url,"metadata_title_exact=1; readme_title_exact=1; token_recall=1.000; anchors=veritas; matched=aware,deepfake,detection,generalizable,pattern,reasoning,veritas; explicit_code_context=1",main,EricTan7/Veritas,17,,scripts/utils/plot_loss.py|DeepfakeBench/analysis/plot_curve.py|DeepfakeBench/analysis/heatmap_tab2.py,"nese Academy of Sciences 5 School of Artificial Intelligence, University of Chinese Academy of Sciences {tanhao2023, jun.wan, zhen.lei}@ia.ac.cn yelan.lj@antgroup.com † § Project Lead. Corresponding author. § Project Page: https://github.com/EricTan7/Veritas A BSTRACT Deepfake detection remains a formidable challenge due to the evolving nature of fake content in real-world scenarios. However, existing benchmarks suffer",corpus/text/iclr-2026-3b8d372687ad.txt
iclr-2026-3c3e3a191645,ICLR,On the Generalization Capacities of MLLMs for Spatial Intelligence,exact_visual_source,Vegetebird/CA-MLLM,explicit_pdf_url,"metadata_title_exact=1; readme_title_exact=1; token_recall=1.000; anchors=capacities,generalization,intelligence,mllms,spatial; matched=capacities,generalization,intelligence,mllms,spatial; explicit_code_context=1",main,Vegetebird/CA-MLLM,14,,src/qwen_vl/model/vggt/utils/visual_track.py|src/unidepth/utils/visualization.py|src/qwen_vl/visualization/__init__.py|src/qwen_vl/visualization/img_drawer.py|src/lmms_eval/tasks/blink/blink_visual_similarity.yaml|src/lmms_eval/tasks/blink/blink_visual_correspondence.yaml,"LIGENCE Gongjie Zhang1,2∗ Wenhao Li3∗ Quanhao Qian1,2 Jiuniu Wang1,2 Deli Zhao1,2 Shijian Lu3 Ran Xu1,2 1 2 3 DAMO Academy, Alibaba Group HuPan Lab Nanyang Technological University Project Page: https://github.com/Vegetebird/CA-MLLM A BSTRACT Multimodal Large Language Models (MLLMs) that directly process RGB inputs for tasks like 3D localization and navigation have shown remarkable potential. Howev",corpus/text/iclr-2026-3c3e3a191645.txt
iclr-2026-3c7fde53bdb5,ICLR,InfoTok: Adaptive Discrete Video Tokenizer via Information-Theoretic Compression,repository_without_visual_source,YWolfeee/InfoTok,github_title_search_verified,"metadata_title_exact=1; readme_title_exact=1; token_recall=1.000; anchors=infotok; matched=adaptive,compression,discrete,information,infotok,theoretic,tokenizer,video",main,,,YWolfeee/InfoTok|ZLKong/Awesome-Collection-Token-Reduction|lavinal712/Awesome-Visual-Tokenizers,,,corpus/text/iclr-2026-3c7fde53bdb5.txt
iclr-2026-3dfd982128a2,ICLR,A Scalable Distributed Framework for Multimodal GigaVoxel Image Registration,no_public_source_found,,,,,,,,,,corpus/text/iclr-2026-3dfd982128a2.txt
iclr-2026-3f0f7132b565,ICLR,Latent Speech-Text Transformer,exact_visual_source,facebookresearch/lst,explicit_pdf_url,"metadata_title_exact=1; readme_title_exact=1; token_recall=1.000; anchors=latent,speech,text,transformer; matched=latent,speech,text,transformer; explicit_code_context=1",main,facebookresearch/lst,14,,lst/plotting/entropy_figure.py|lst/plotting/scaling_figures.py|lst/plotting/__init__.py|lst/plotting/config_entropy_figure.yaml|lst/plotting/config_scaling_figures.yaml,"stream tasks: LST stabilizes ASR adaptation and reduces the effective au- toregressive sequence length during ASR and TTS inference, lowering compu- tational cost without degrading reconstruction quality. The code is available at https://github.com/facebookresearch/lst. 1 I NTRODUCTION Inspired by the strong zero- and few-shot understanding and generation capabilities of large auto- regressive textual language models with billions of parameters that are pre-trained on trillions of tokens, Lakhotia et al. (2021) introduc",corpus/text/iclr-2026-3f0f7132b565.txt
iclr-2026-4019795d726c,ICLR,Decentralized Attention Fails Centralized Signals: Rethinking Transformers for Medical Time Series,repository_without_visual_source,DL4mHealth/Medformer,explicit_pdf_url,"metadata_title_exact=0; readme_title_exact=0; token_recall=0.600; anchors=; matched=attention,medical,series,signals,time,transformers; explicit_code_context=1",main,DL4mHealth/Medformer|lucidrains/reformer-pytorch|MAZiqing/FEDformer|networkslab/MTST|thuml/Autoformer|thuml/iTransformer|Levi-Ackman/TeCh,12|12|12|12|12|12|2,,,kens at multiple temporal resolutions to capture both fine-grained local dependencies and long-range contextual patterns. This design improves the model’s ability to handle heterogeneous temporal dynamics in physiological signals. The raw code is available at https://github.com/DL4mHealth/Medformer. C.2 I MPLEMENTATION D ETAILS OF OUR T E C H Our Tech is trained with a unified batch size (B = 128) and dimension of core token Dc = 14 D across all datasets. The selection of other critical hyperparameters is listed in Table 6. We present the pseudo-cod,corpus/text/iclr-2026-4019795d726c.txt
iclr-2026-421310926c11,ICLR,EigenBench: A Comparative Behavioral Measure of Value Alignment,exact_visual_source,jchang153/EigenBench,explicit_pdf_url,"metadata_title_exact=0; readme_title_exact=1; token_recall=1.000; anchors=eigenbench; matched=alignment,behavioral,comparative,eigenbench,measure,value; explicit_code_context=1",main,jchang153/EigenBench,17,,pipeline/train/plots.py,"enBench can recover model rankings on the GPQA benchmark without access to objective labels, supporting its viability as a framework for evaluat- ing subjective values for which no ground truths exist. The code is available at https://github.com/jchang153/EigenBench. 1 I NTRODUCTION Can a language model be kind? Loyal? Plainspoken? Can it adhere to Taoist values, utilitarian ethics, or the philosophy of deep ecology? In this paper we propose a method for quantifying the subjective traits of language models, inclu",corpus/text/iclr-2026-421310926c11.txt
iclr-2026-4826a74c05ee,ICLR,Train-before-Test Harmonizes Language Model Rankings,partial_visual_source,socialfoundations/lm-harmony,explicit_pdf_url,"metadata_title_exact=0; readme_title_exact=0; token_recall=0.833; anchors=; matched=before,language,rankings,test,train; explicit_code_context=1",main,socialfoundations/lm-harmony|huggingface/transformers,14|0,,lm_eval/tasks/bbh/fewshot/penguins_in_a_table.yaml|lm_eval/tasks/bbh/zeroshot/penguins_in_a_table.yaml|lm_eval/tasks/bbh/cot_fewshot/penguins_in_a_table.yaml|lm_eval/tasks/bbh/cot_zeroshot/penguins_in_a_table.yaml|lm_eval/tasks/leaderboard/bbh_mc/penguins_in_a_table.yaml|lm_eval/tasks/inverse_scaling/inverse_scaling_sig_figs.yaml|lm_eval/tasks/bigbench/generate_until/penguins_in_a_table.yaml|lm_eval/tasks/bigbench/multiple_choice/penguins_in_a_table.yaml|lm_eval/tasks/bigbench/generate_until/figure_of_speech_detection.yaml|lm_eval/tasks/bigbench/multiple_choice/figure_of_speech_detection.yaml,l potential by giving each model the same task-specific fine-tuning. We call this approach train-before-test. Its goal is to achieve valid model comparisons by ensuring that all models receive equal preparation for the test. † Code is available at https://github.com/socialfoundations/lm-harmony. 1 Published as a conference paper at ICLR 2026,corpus/text/iclr-2026-4826a74c05ee.txt
iclr-2026-49937f5dcda4,ICLR,ParaRNN: Unlocking Parallel Training of Nonlinear RNNs for Large Language Models,repository_without_visual_source,apple/ml-pararnn,explicit_pdf_url,"metadata_title_exact=0; readme_title_exact=1; token_recall=1.000; anchors=pararnn; matched=language,large,nonlinear,parallel,pararnn,rnns,training,unlocking; explicit_code_context=1",main,apple/ml-pararnn,17,,,"Perplexity Figure 1: Our ParaRNN framework makes it possible to apply classical RNNs in parallel, dramati- cally speeding up their training, and allowing them to be used competitively for language modeling. Codebase is available at https://github.com/apple/ml-pararnn/. 1 Published as a conference paper at ICLR 2026 reason behind the rapid adoption of Transformers lies in the efficiency of the",corpus/text/iclr-2026-49937f5dcda4.txt
