paper_id,conference,analysis_stratum,sample_cohort,figures,tables,visual_objects,caption_found,caption_coverage,caption_words_mean,caption_words_median,caption_headline_bold_share,caption_setup_share,caption_encoding_key_share,caption_main_finding_share,caption_uncertainty_share,internal_font_size_median,dominant_palette_hex,color_object_share,single_column_share,page_or_double_width_share,pdf_fonts
iclr-2026-0e6979a1fd18,ICLR,oral,foundation_200,15,9,24,24,1.0,41.292,29.0,0.541667,0.458333,0.041667,0.333333,0.041667,7.014,#76B900|#EBDDD7|#53603C|#619900|#C87B88|#D69BA4|#A03946|#92C735,0.791667,0.166667,0.708333,Aptos|Aptos-Bold|Arial-BoldMT|ArialMT|CMBX10|CMBX9|CMEX10|CMEX7|CMEX9|CMMI10|CMMI5|CMMI6|CMMI7|CMMI9|CMMIB10|CMR10|CMR5|CMR6|CMR7|CMR9|CMSY10|CMSY5|CMSY6|CMSY7|CMSY9|DengXian|Helvetica|Helvetica-Bold|Helvetica-BoldOblique|Helvetica-Oblique|HelveticaNeue|HelveticaNeue-Bold|HelveticaNeue-BoldItalic|HelveticaNeue-Medium|MSBM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|STIXGeneral-Italic|STIXGeneral-Regular|TimesNewRomanPS-BoldMT|TimesNewRomanPSMT|grmn1000
iclr-2026-0f7ec564e69d,ICLR,oral,foundation_200,1,4,5,5,1.0,28.0,21.0,0.0,0.2,0.0,0.2,0.0,9.963,#DAE8FC|#D5E8D4|#FFF2CC|#B3AA8E|#82A1A3|#7F787E|#B7C8BE|#FBEEC7,0.2,0.0,1.0,CMBX9|CMEX10|CMMI10|CMMI5|CMMI7|CMMI9|CMMIB9|CMR10|CMR7|CMR9|CMSY10|CMSY5|CMSY7|CMSY9|Dingbats|MSBM10|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|SFTT0900|SFTT1000
iclr-2026-0f9a4f0ba34a,ICLR,oral,replication_200,18,12,30,30,1.0,18.467,12.0,0.066667,0.1,0.1,0.233333,0.266667,9.963,#E4EFF8|#B2ACC2|#7474A6|#733E54|#D6E1EB|#5CA28B|#99CFC5|#E6F1F0,0.6,0.5,0.466667,ArialMT|CMEX10|CMMI10|CMMI5|CMMI6|CMMI7|CMMI9|CMR10|CMR5|CMR6|CMR7|CMR9|CMSY10|CMSY7|CMSY9|Calibri-Bold|Calibri-BoldItalic|MSBM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-MediItal|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal
iclr-2026-106be5e431a2,ICLR,oral,foundation_200,8,4,12,12,1.0,29.75,22.0,0.0,0.416667,0.166667,0.333333,0.0,7.367,#D0E4D5|#DCEAF7|#625C41|#8FAD78|#C3CBBB|#56B456|#F4F1E5|#BFDECE,0.75,0.166667,0.833333,ArialMT|CMBX10|CMEX10|CMMI10|CMMI5|CMMI7|CMMIB10|CMMIB7|CMR10|CMR5|CMR7|CMSY10|CMSY6|CMSY7|MSAM10|MSBM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|TimesNewRomanPSMT
iclr-2026-12331806f03c,ICLR,oral,foundation_200,6,10,16,16,1.0,52.375,56.0,0.1875,0.375,0.1875,0.625,0.125,9.963,#1F77B4|#FFA556|#E26869|#FF8011|#D72728|#D0CDCA|#FFBC82|#93C47D,0.4375,0.0625,0.9375,Arial-BoldItalicMT|Arial-BoldMT|ArialMT|CMBX10|CMBX7|CMEX10|CMMI10|CMMI12|CMMI5|CMMI7|CMMI9|CMMIB10|CMR10|CMR12|CMR5|CMR7|CMR9|CMSSBX10|CMSY10|CMSY5|CMSY6|CMSY7|CMSY9|CMTT10|DejaVuSans|DejaVuSans-Bold|Lexend-Bold|Lexend-Regular|MSBM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|NotoColorEmoji
iclr-2026-159f6b7208d5,ICLR,oral,foundation_200,8,5,13,12,0.923077,52.083,44.0,0.0,0.416667,0.5,0.5,0.25,9.963,#CCCCFF|#FFCCCC|#FFE6CC|#9C6F83|#FFCC9B|#D8B9C5|#E4CCB7|#8C8CFF,0.307692,0.076923,0.846154,CMBSY7|CMEX10|CMMI10|CMMI12|CMMI5|CMMI6|CMMI7|CMMI9|CMMIB10|CMMIB7|CMR10|CMR12|CMR5|CMR6|CMR7|CMR9|CMSY10|CMSY5|CMSY7|CMSY9|F277|MSBM10|MSBM7|NewTXMI|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-MediItal|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|TeXGyreHeros-Regular|TeXGyreTermesX-Regular|TimesNewRomanPSMT|[none]|txmiaX
iclr-2026-198f06993051,ICLR,oral,replication_200,8,8,16,16,1.0,23.5,17.5,0.0,0.3125,0.1875,0.0625,0.0,7.503,#E2EAD5|#F3E3E4|#B8D78F|#F3C2C1|#DAE2CD|#656550|#8EA470|#6C6655,0.5,0.25,0.625,ArialMT|CMEX10|CMMI10|CMMI7|CMMI9|CMR10|CMR7|CMSY10|CMSY6|CMSY7|CMSY9|DejaVuSans|DejaVuSans-Bold|DejaVuSans-Oblique|EUFM10|MSAM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal
iclr-2026-247f0a285827,ICLR,oral,foundation_200,9,10,19,19,1.0,30.947,22.0,0.0,0.263158,0.0,0.263158,0.0,8.072,#D3E9E8|#0CD79F|#FF7F0E|#2CA02C|#63C0DF|#BBE3F1|#91D2E9|#DFA583,0.736842,0.263158,0.421053,"Aptos|Aptos,Bold|Arial-BoldItalicMT|Arial-BoldMT|ArialMT|CMEX10|CMMI10|CMMI5|CMMI7|CMMI8|CMR10|CMR5|CMR7|CMSY10|CMSY6|CMSY7|CMSY8|CMSY9|CambriaMath|DejaVuSans|F149|MSAM10|MSBM10|NimbusMonL-Bold|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal"
iclr-2026-24987e898413,ICLR,oral,foundation_200,13,11,24,24,1.0,29.542,21.0,0.0,0.708333,0.041667,0.166667,0.0,7.691,#90919C|#6E6E81|#BFD5C1|#CEE6D7|#D0BABF|#9AB5AA|#F3E8DC|#CEF2E0,0.583333,0.458333,0.541667,"Aptos|Aptos,Bold|ArialMT|CMBX10|CMEX10|CMMI10|CMMI7|CMMI9|CMR10|CMR6|CMR7|CMR9|CMSY10|CMSY6|CMSY7|CMSY9|Courier|FontAwesome5Brands-Regular|HelveticaNeue-Bold|MyriadPro-Bold|MyriadPro-BoldIt|MyriadPro-It|MyriadPro-Regular|MyriadPro-Semibold|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-MediItal|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|Nunito-ExtraLight|Nunito-ExtraLightItalic|SFRB1000|SFTT0900"
iclr-2026-255bea54f97f,ICLR,oral,foundation_200,9,5,14,14,1.0,9.857,6.0,0.0,0.071429,0.285714,0.0,0.0,6.088,#E2F0D9|#1A1BFC|#FFEDD4|#FA1819|#227D45|#FFA706|#FFB759|#92BAA6,0.642857,0.571429,0.428571,CMBSY10|CMBSY6|CMBSY7|CMBX5|CMBX6|CMBX7|CMEX10|CMEX7|CMMI10|CMMI5|CMMI6|CMMI7|CMMI9|CMMIB10|CMMIB5|CMMIB6|CMMIB7|CMMIB9|CMR10|CMR5|CMR6|CMR7|CMR9|CMSY10|CMSY5|CMSY6|CMSY7|CMSY9|CambriaMath|DejaVuSans|MSBM10|MSBM7|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-MediItal|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|TwCenMT-Bold
iclr-2026-2a0b369c60a9,ICLR,oral,foundation_200,9,6,15,15,1.0,23.267,17.0,0.6,0.2,0.0,0.133333,0.133333,7.304,#FDF5EB|#7F3B44|#E7E4E9|#8899A9|#B8CCC0|#EFEEEF|#FA7A5B|#E84131,0.666667,0.2,0.8,CMBX7|CMEX10|CMEX9|CMMI10|CMMI5|CMMI6|CMMI7|CMMI9|CMMIB10|CMMIB5|CMMIB7|CMR10|CMR5|CMR6|CMR7|CMR9|CMSY10|CMSY5|CMSY6|CMSY7|CMSY9|Calibri-Bold|CambriaMath|DejaVuSans|DejaVuSans-Oblique|LiberationSans|MSAM10|MSBM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|TimesNewRomanPS-BoldMT|TimesNewRomanPSMT|dsrom10
iclr-2026-2a842dd4a787,ICLR,oral,foundation_200,16,22,38,38,1.0,52.868,46.0,0.0,0.473684,0.210526,0.657895,0.0,7.804,#FFEDED|#A40004|#DCE6F7|#CF957D|#43322E|#D1B09F|#7B3A2C|#756257,0.842105,0.236842,0.736842,CMBX10|CMBX7|CMEX10|CMMI10|CMMI5|CMMI7|CMMI9|CMMIB10|CMMIB7|CMR10|CMR5|CMR7|CMR9|CMSY10|CMSY5|CMSY6|CMSY7|CMSY9|CambriaMath|DengXian-Regular|GillSansMT|GillSansMT-Bold|MSAM10|MSAM7|MSBM10|MSBM7|MarVoSym|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|StandardSymL_Slant_167|TimesNewRomanPSMT
iclr-2026-2f4f189e96a1,ICLR,oral,foundation_200,7,9,16,16,1.0,51.25,30.5,0.875,0.875,0.1875,0.1875,0.0,6.385,#FBE5D6|#DEE0E5|#898685|#49444D|#955447|#AFCCCA|#BFA08C|#FAD58F,0.4375,0.3125,0.6875,CMEX10|CMMI10|CMMI7|CMR10|CMR12|CMR6|CMR7|CMSY10|CMSY6|CMSY7|CMSY9|Calibri|Calibri-Bold|Calibri-Italic|CambriaMath|DejaVuSans-Bold|Helvetica-Bold|MSBM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-MediItal|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|SegoePrint-Bold|SegoeUISymbol|TimesNewRomanPS-BoldMT
iclr-2026-31327f1d20e6,ICLR,oral,foundation_200,6,14,20,20,1.0,18.45,13.0,0.0,0.25,0.1,0.15,0.35,8.966,#E2F0D9|#DEEBF7|#B39CD0|#A75D25|#E8CC8B|#C6D1CA|#FAFDED|#969D7A,0.3,0.55,0.45,Arial-BoldMT|ArialMT|CMEX9|CMMI10|CMMI5|CMMI6|CMMI7|CMMI9|CMR6|CMR9|CMSY10|CMSY6|CMSY7|CMSY9|CourierNewPSMT|DejaVuSans|DejaVuSerif|Freesentation-4Regular|Freesentation-5Medium|Freesentation-6SemiBold|Freesentation-7Bold|NimbusMonL-Bold|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal
iclr-2026-322bd0a9b17a,ICLR,oral,foundation_200,19,19,38,38,1.0,17.947,9.0,0.0,0.263158,0.105263,0.157895,0.0,9.963,#02679A|#E4EBEE|#0E6E9E|#FDECDB|#FDDDC1|#E2C5AB|#FEFAEB|#C4987E,0.447368,0.631579,0.368421,"Aptos|Aptos,Bold|Aptos,BoldItalic|Aptos-Bold|CMBX10|CMEX10|CMMI10|CMMI7|CMMI9|CMR10|CMR7|CMR9|CMSY10|CMSY7|CMSY9|Calibri|Calibri-Bold|Cascadia-Code-Italic|CascadiaCodeRoman|CascadiaCodeRoman-Bold|DejaVuSans|DejaVuSans-Bold|DengXian-Bold|FiraCode-Bold|FiraCode-Regular|MSBM10|NimbusMonL-Bold|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|SegoeUISymbol|SimHei|[none]"
iclr-2026-32bffb4a35b9,ICLR,oral,replication_200,31,2,33,33,1.0,30.455,26.0,0.0,0.666667,0.181818,0.393939,0.0,9.564,#EB6F63|#5CACE2|#D95F0E|#1F78B4|#FCEDD5|#FFE5E1|#DC6F26|#21579E,0.69697,0.242424,0.757576,AppleColorEmoji|Arial-BoldMT|ArialMT|CMMI10|CMMI7|CMMI9|CMR10|CMR7|CMR9|CMSY10|CMSY6|CMSY7|CMSY9|DejaVuSans|DejaVuSans-Bold|Helvetica|Helvetica-Bold|HelveticaNeue|HelveticaNeue-Bold|MSBM10|Menlo-Bold|Menlo-Regular|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|PingFangSC-Regular|PingFangSC-Semibold|STIXTwoMath-Regular|font000000002e844fff
iclr-2026-3b8d372687ad,ICLR,oral,foundation_200,40,19,59,59,1.0,41.186,18.0,0.050847,0.525424,0.0,0.169492,0.0,6.436,#C55A11|#FFEFDA|#E2F0D9|#C00000|#FC1F1F|#F67575|#F39898|#FE0808,0.542373,0.322034,0.559322,CMBX7|CMBX9|CMEX10|CMMI10|CMMI5|CMMI7|CMMI9|CMMIB10|CMMIB7|CMR10|CMR5|CMR6|CMR7|CMR9|CMSY10|CMSY5|CMSY6|CMSY7|CMSY9|Calibri|Calibri-Bold|CambriaMath|ComicSansMS|FontAwesome5Brands-Regular|MSAM7|MSBM10|MSBM7|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-MediItal|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|Wingdings-Regular
iclr-2026-3c3e3a191645,ICLR,oral,foundation_200,7,6,13,13,1.0,58.154,47.0,0.0,0.384615,0.0,0.153846,0.0,9.963,#FFDDC1|#FFF5EE|#6FD19F|#80A044|#D2C1B8|#B5A57E|#ADB888|#DCCEB1,0.769231,0.307692,0.538462,AppleColorEmoji|CMBX10|CMBX5|CMBX7|CMBX8|CMEX10|CMMI10|CMMI5|CMMI7|CMMIB5|CMMIB7|CMR10|CMR5|CMR6|CMR7|CMSY10|CMSY6|CMSY7|CMSY8|Cambria|ComicSansMS|ComicSansMS-Bold|Courier|HelveticaNeue|HelveticaNeue-Italic|MSAM7|MSBM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-MediItal|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|PingFangSC-Semibold|SFRM0800|bbding
iclr-2026-3c7fde53bdb5,ICLR,oral,foundation_200,6,6,12,12,1.0,46.5,31.0,0.0,0.5,0.083333,0.333333,0.0,9.963,#1F293E|#7D3925|#75B153|#AC8F70|#51291A|#6588D5|#B97147|#765F69,0.666667,0.083333,0.916667,CMBX10|CMBX5|CMBX6|CMBX7|CMBX9|CMEX10|CMMI10|CMMI5|CMMI6|CMMI7|CMMI9|CMR10|CMR5|CMR6|CMR7|CMR9|CMSY10|CMSY5|CMSY6|CMSY7|CMSY9|MSAM10|MSBM10|MSBM7|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal
iclr-2026-3dfd982128a2,ICLR,oral,replication_200,8,1,9,9,1.0,84.111,76.0,0.111111,0.555556,0.333333,0.444444,0.0,7.476,#BFFFBF|#FFFBCC|#5194C3|#FF0000|#95D1EB|#307EB3|#6DA0C5|#B2236F,1.0,0.0,0.888889,Aptos|Aptos-Bold|Aptos-Italic|ArialMT|CMBX10|CMBX7|CMBX9|CMEX10|CMMI10|CMMI5|CMMI7|CMMI9|CMR10|CMR7|CMR9|CMSY10|CMSY7|CMSY9|DejaVuSans|Dingbats|MSBM10|NimbusMonL-Regu|NimbusSanL-Regu|SFRM0900|SFRM1000|TeXGyreTermes-Regular|TeXGyreTermesX-Bold|TeXGyreTermesX-BoldItalic|TeXGyreTermesX-Italic|TeXGyreTermesX-Regular
iclr-2026-3f0f7132b565,ICLR,oral,foundation_200,6,13,19,19,1.0,30.316,24.0,0.052632,0.684211,0.0,0.263158,0.052632,9.963,#4EA08C|#EA6B48|#90C3B4|#F9C4A4|#F7E8DC|#D6EBD9|#FE9F4F|#C3D9DB,0.368421,0.210526,0.526316,Arial-BoldMT|Arial-ItalicMT|ArialMT|CMBX10|CMEX10|CMMI10|CMMI5|CMMI7|CMR10|CMR5|CMR7|CMSY10|CMSY5|CMSY7|CMSY9|DejaVuSans|MSBM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|SFRM1000
iclr-2026-4019795d726c,ICLR,oral,foundation_200,5,12,17,17,1.0,120.706,95.0,0.176471,0.411765,0.0,0.529412,0.117647,9.963,#BF8080|#810202|#800101|#CD9B9B|#A24646|#DEBDBD|#8F2020|#AD5B5B,0.647059,0.0,1.0,CMBX10|CMEX10|CMMI10|CMMI5|CMMI7|CMMIB10|CMR10|CMR7|CMSY10|CMSY6|CMSY7|MSBM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-MediItal|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal
iclr-2026-421310926c11,ICLR,oral,foundation_200,10,18,28,28,1.0,36.964,34.0,0.0,0.321429,0.178571,0.142857,0.214286,9.963,#CFC7D5|#CB676C|#629A9C|#C496A0|#575757|#AAC3B3|#6FBA8E|#EAAF8F,0.428571,0.357143,0.642857,CMBX10|CMBX9|CMEX10|CMEX9|CMMI10|CMMI5|CMMI6|CMMI7|CMMI9|CMR10|CMR6|CMR7|CMR9|CMSY10|CMSY5|CMSY6|CMSY7|CMSY9|Inconsolatazi4-Regular|MSBM10|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal
iclr-2026-4826a74c05ee,ICLR,oral,replication_200,15,8,23,23,1.0,46.522,30.0,0.0,0.956522,0.347826,0.391304,0.173913,6.801,#0173B2|#DE8F05|#98D6BA|#8DB0C3|#D3EEB3|#97CAC1|#C8A9AB|#A7A79C,0.695652,0.043478,0.869565,ArialMT|CMMI10|CMR10|CMR7|CMSY10|DejaVuSans|DejaVuSans-Oblique|LiberationSans|NimbusMonL-Regu|NimbusMonL-ReguObli|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal
iclr-2026-49937f5dcda4,ICLR,oral,foundation_200,13,6,19,19,1.0,53.632,37.0,0.0,0.315789,0.421053,0.263158,0.0,8.842,#3A8C52|#0072B2|#407595|#5B4E83|#E29F08|#B8C8B8|#509379|#201F8E,0.684211,0.052632,0.894737,CMBX10|CMEX10|CMEX9|CMMI10|CMMI5|CMMI6|CMMI7|CMMI9|CMMIB10|CMMIB6|CMMIB7|CMMIB9|CMR10|CMR5|CMR6|CMR7|CMR9|CMSY10|CMSY5|CMSY6|CMSY7|CMSY9|MSAM10|MSBM10|NimbusMonL-Bold|NimbusMonL-Regu|NimbusMonL-ReguObli|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|SFCC1000|SFRM0500|SFRM1000|TimesNewRomanPSMT
iclr-2026-4d1471a91635,ICLR,oral,foundation_200,18,11,29,29,1.0,34.172,26.0,0.0,0.482759,0.068966,0.241379,0.0,9.963,#FDE9F1|#E1EAF2|#ABC0D1|#DFF0D8|#E0F7FA|#FFF2CC|#ACA28B|#706959,0.827586,0.413793,0.551724,Arial-BoldItalicMT|Arial-BoldMT|Arial-ItalicMT|ArialMT|CMBX10|CMBX9|CMEX10|CMMI10|CMMI5|CMMI6|CMMI7|CMMI9|CMMIB7|CMR10|CMR6|CMR7|CMR9|CMSY10|CMSY6|CMSY7|CMSY9|Calibri|Calibri-Bold|Calibri-BoldItalic|DejaVuSans|DejaVuSans-Bold|Dingbats|MSBM10|NimbusMonL-Bold|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|URWPalladioL-Bold|URWPalladioL-Roma
