rank,sequence,papers,paper_share,example_paper_ids
37,object_scope -> problem_gap -> limitation -> core_idea -> method -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-6e52571c3da4
38,object_scope -> problem_gap -> core_idea -> problem_gap -> method -> core_idea -> method -> theory -> experimental_setup -> qualitative_result -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-6f113e6f8081
39,object_scope -> problem_gap -> object_scope -> core_idea -> method -> theory -> qualitative_result -> theory -> qualitative_result -> theory -> impact_claim,1,0.004,iclr-2026-72f24b2e940f
40,object_scope -> qualitative_result -> problem_gap -> core_idea -> method -> object_scope -> method -> experimental_setup -> qualitative_result -> limitation -> impact_claim,1,0.004,iclr-2026-747836133659
41,object_scope -> problem_gap -> core_idea -> method -> experimental_setup -> method -> experimental_setup -> qualitative_result -> impact_claim -> qualitative_result -> quantitative_result -> impact_claim -> limitation -> impact_claim,1,0.004,iclr-2026-77178098d85f
42,object_scope -> problem_gap -> core_idea -> method -> core_idea -> method -> quantitative_result -> experimental_setup -> quantitative_result -> qualitative_result -> experimental_setup -> quantitative_result -> impact_claim,1,0.004,iclr-2026-7833e39d5371
43,object_scope -> problem_gap -> core_idea -> method -> core_idea -> method -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-7c24d2356ca5
44,object_scope -> core_idea -> problem_gap -> method -> core_idea -> experimental_setup -> limitation -> problem_gap -> core_idea -> method -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-7d504a5c8916
45,object_scope -> problem_gap -> core_idea -> method -> object_scope -> problem_gap -> method -> qualitative_result,1,0.004,iclr-2026-7f071490c87d
46,object_scope -> impact_claim -> object_scope -> problem_gap -> qualitative_result -> core_idea -> method -> impact_claim -> core_idea -> method -> theory -> qualitative_result -> experimental_setup -> object_scope -> method -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-7f4352669d70
47,object_scope -> theory -> problem_gap -> object_scope -> core_idea -> theory -> method -> theory -> object_scope -> theory -> limitation -> core_idea -> experimental_setup -> qualitative_result,1,0.004,iclr-2026-8015e8f6dc9a
48,object_scope -> core_idea -> problem_gap -> core_idea -> method -> qualitative_result -> experimental_setup -> quantitative_result -> impact_claim,1,0.004,iclr-2026-82716d8e922b
49,object_scope -> problem_gap -> core_idea -> method -> theory -> core_idea -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-87e3cec2f574
50,object_scope -> impact_claim -> problem_gap -> limitation -> core_idea -> method -> core_idea -> method -> theory -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-883c05e1e1dc
51,object_scope -> problem_gap -> core_idea -> method -> object_scope -> experimental_setup -> core_idea -> method -> experimental_setup -> qualitative_result -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-8da8f79c49d5
52,object_scope -> problem_gap -> core_idea -> method -> theory -> object_scope -> method -> problem_gap -> limitation -> core_idea -> method -> theory -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-927309b0632d
53,object_scope -> problem_gap -> core_idea -> method -> experimental_setup -> qualitative_result -> impact_claim -> qualitative_result -> impact_claim,1,0.004,iclr-2026-963229d0140f
54,object_scope -> problem_gap -> object_scope -> core_idea -> method -> problem_gap -> core_idea -> method -> limitation -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-9731e2f39bcc
55,object_scope -> problem_gap -> object_scope -> core_idea -> theory -> core_idea -> theory -> qualitative_result -> impact_claim -> method -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-9800a26d2608
56,object_scope -> problem_gap -> limitation -> object_scope -> core_idea -> object_scope -> method -> experimental_setup -> theory -> limitation -> theory -> limitation -> method -> theory -> limitation -> theory -> impact_claim -> experimental_setup -> qualitative_result,1,0.004,iclr-2026-98752ebdf7d6
57,object_scope -> impact_claim -> problem_gap -> core_idea -> method -> core_idea -> method -> experimental_setup -> problem_gap -> qualitative_result -> method -> qualitative_result -> method -> core_idea -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-99e6f2b9fab2
58,object_scope -> problem_gap -> core_idea -> method -> problem_gap -> core_idea -> method -> experimental_setup -> quantitative_result -> impact_claim,1,0.004,iclr-2026-9a1a4fec2317
59,object_scope -> problem_gap -> quantitative_result -> core_idea -> method -> theory -> core_idea -> method -> theory -> experimental_setup -> limitation -> quantitative_result -> qualitative_result -> theory -> method -> theory -> impact_claim -> limitation,1,0.004,iclr-2026-9ba8184b9ae8
60,object_scope -> problem_gap -> object_scope -> core_idea -> method -> core_idea -> method -> theory -> object_scope -> impact_claim -> experimental_setup -> qualitative_result -> impact_claim -> qualitative_result -> impact_claim,1,0.004,iclr-2026-9bfcc62a75a1
61,object_scope -> problem_gap -> qualitative_result -> problem_gap -> core_idea -> method -> experimental_setup -> theory -> quantitative_result -> impact_claim,1,0.004,iclr-2026-9d74a65ca00d
62,object_scope -> problem_gap -> object_scope -> method -> problem_gap -> object_scope -> problem_gap -> core_idea -> qualitative_result -> core_idea -> method -> core_idea -> method -> object_scope -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-9dbde6327464
63,object_scope -> problem_gap -> object_scope -> method -> problem_gap -> limitation -> core_idea -> theory -> method -> core_idea -> method -> impact_claim -> method -> impact_claim -> qualitative_result -> impact_claim -> experimental_setup -> qualitative_result -> experimental_setup -> quantitative_result -> theory -> impact_claim,1,0.004,iclr-2026-9f44d179b34e
64,object_scope -> problem_gap -> object_scope -> problem_gap -> theory -> method -> problem_gap -> core_idea -> method -> qualitative_result -> impact_claim -> method -> impact_claim -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-a2b879220593
65,object_scope -> impact_claim -> object_scope -> core_idea -> problem_gap -> theory -> core_idea -> theory -> method -> core_idea -> method -> impact_claim -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-a360ac840b2a
66,object_scope -> problem_gap -> limitation -> core_idea -> method -> object_scope -> core_idea -> theory -> impact_claim -> method -> theory -> qualitative_result -> core_idea -> theory -> method -> theory -> qualitative_result,1,0.004,iclr-2026-a52a988a4775
67,object_scope -> impact_claim -> problem_gap -> core_idea -> problem_gap -> core_idea -> method -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-a60437a1dcad
68,object_scope -> problem_gap -> object_scope -> problem_gap -> limitation -> core_idea -> method -> core_idea -> method -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim -> method -> impact_claim,1,0.004,iclr-2026-ac7703f2b4ec
69,object_scope -> problem_gap -> core_idea -> method -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-b22813abf7f0
70,object_scope -> method -> core_idea -> theory -> limitation -> theory -> method -> experimental_setup -> qualitative_result -> impact_claim -> qualitative_result -> impact_claim,1,0.004,iclr-2026-b879ca6dd1a4
71,object_scope -> problem_gap -> impact_claim -> problem_gap -> limitation -> core_idea -> method -> core_idea -> method -> theory -> impact_claim -> theory -> experimental_setup -> qualitative_result -> impact_claim -> core_idea -> method -> impact_claim,1,0.004,iclr-2026-c4f15a7f203b
72,object_scope -> problem_gap -> qualitative_result -> core_idea -> method -> core_idea -> experimental_setup -> quantitative_result -> impact_claim,1,0.004,iclr-2026-c5caee9922e5
73,object_scope -> problem_gap -> limitation -> core_idea -> method -> impact_claim -> qualitative_result -> impact_claim,1,0.004,iclr-2026-c6856f20a2f5
74,object_scope -> method -> problem_gap -> core_idea -> method -> theory -> core_idea -> method -> experimental_setup -> qualitative_result -> impact_claim -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-c9604bfa6042
75,object_scope -> problem_gap -> core_idea -> method -> core_idea -> method -> core_idea -> qualitative_result -> method -> core_idea -> theory -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-cdc551019493
76,object_scope -> impact_claim -> problem_gap -> core_idea -> method -> object_scope -> method -> qualitative_result -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-d548949c4ba4
77,object_scope -> problem_gap -> core_idea -> theory -> object_scope -> method -> problem_gap -> core_idea -> method -> experimental_setup -> quantitative_result -> method -> experimental_setup -> quantitative_result -> method -> qualitative_result -> impact_claim,1,0.004,iclr-2026-d930d9c23cc7
78,object_scope -> problem_gap -> core_idea -> object_scope -> quantitative_result -> method -> core_idea -> method -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim -> object_scope -> method,1,0.004,iclr-2026-d99017a21fe7
79,object_scope -> problem_gap -> core_idea -> method -> quantitative_result -> theory -> impact_claim,1,0.004,iclr-2026-dba10825e0af
80,object_scope -> method -> object_scope -> problem_gap -> object_scope -> theory -> problem_gap -> theory -> problem_gap -> core_idea -> method -> core_idea -> theory -> method -> theory -> limitation -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-dc06dcfe9933
81,object_scope -> problem_gap -> core_idea -> method -> theory -> qualitative_result -> problem_gap -> qualitative_result -> quantitative_result -> qualitative_result -> core_idea -> impact_claim,1,0.004,iclr-2026-ddc69d973093
82,object_scope -> method -> qualitative_result -> problem_gap -> limitation -> core_idea -> method -> core_idea -> method -> theory -> method -> theory -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-de09352af556
83,object_scope -> impact_claim -> problem_gap -> core_idea -> method -> qualitative_result -> impact_claim -> problem_gap -> method -> experimental_setup -> method -> experimental_setup -> impact_claim -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-df99a0fdd618
84,object_scope -> problem_gap -> limitation -> core_idea -> method -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-dff0527cb8cf
85,object_scope -> problem_gap -> core_idea -> theory -> experimental_setup -> object_scope -> core_idea -> theory -> qualitative_result -> experimental_setup -> impact_claim,1,0.004,iclr-2026-e6952544908b
86,object_scope -> method -> problem_gap -> limitation -> core_idea -> method -> experimental_setup -> method -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-e7be893c9452
87,object_scope -> core_idea -> problem_gap -> qualitative_result -> method -> impact_claim -> core_idea -> method -> theory -> qualitative_result -> object_scope -> method -> experimental_setup -> quantitative_result -> qualitative_result,1,0.004,iclr-2026-e7ef44128dd8
88,object_scope -> core_idea -> problem_gap -> core_idea -> method -> object_scope -> qualitative_result -> impact_claim -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-e87e18e18569
89,object_scope -> problem_gap -> object_scope -> qualitative_result -> core_idea -> object_scope -> method -> qualitative_result -> impact_claim -> qualitative_result -> limitation -> qualitative_result -> method -> impact_claim -> experimental_setup -> quantitative_result -> method -> experimental_setup -> impact_claim -> qualitative_result -> impact_claim,1,0.004,iclr-2026-eb4983c11917
90,object_scope -> problem_gap -> core_idea -> method -> core_idea -> method -> theory -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-ee69851b0726
91,object_scope -> problem_gap -> core_idea -> method -> theory -> method -> theory -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-f34826d49cba
92,object_scope -> problem_gap -> method -> problem_gap -> core_idea -> method -> theory -> quantitative_result -> experimental_setup -> impact_claim,1,0.004,iclr-2026-f37e773ebaa6
93,object_scope -> qualitative_result -> problem_gap -> limitation -> core_idea -> object_scope -> method -> qualitative_result -> quantitative_result -> core_idea -> method -> experimental_setup -> method -> experimental_setup -> quantitative_result -> impact_claim -> limitation,1,0.004,iclr-2026-f8f364a44221
94,object_scope -> problem_gap -> core_idea -> method -> object_scope -> method -> experimental_setup -> method -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-fac989b896c5
95,object_scope -> problem_gap -> object_scope -> problem_gap -> core_idea -> method -> theory -> method -> experimental_setup -> quantitative_result -> experimental_setup -> qualitative_result -> impact_claim -> quantitative_result -> impact_claim,1,0.004,iclr-2026-fd78f005be2e
96,object_scope -> problem_gap -> object_scope -> core_idea -> method -> quantitative_result -> object_scope -> qualitative_result -> object_scope -> qualitative_result -> impact_claim -> method -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-fdf9a5fa8f55
97,object_scope -> problem_gap -> limitation -> core_idea -> method -> qualitative_result -> core_idea -> method -> theory -> quantitative_result -> method -> limitation -> experimental_setup -> quantitative_result -> qualitative_result,1,0.004,iclr-2026-fe86008e62d4
98,object_scope -> method -> theory -> impact_claim -> qualitative_result -> theory -> quantitative_result -> theory -> quantitative_result -> object_scope -> qualitative_result -> impact_claim,1,0.004,icml-2026-1ef10519dcd7
99,object_scope -> core_idea -> problem_gap -> qualitative_result -> limitation -> core_idea -> qualitative_result -> problem_gap -> impact_claim -> core_idea -> method -> quantitative_result -> impact_claim,1,0.004,icml-2026-7f1780627873
100,object_scope -> problem_gap -> core_idea -> method -> qualitative_result -> core_idea -> qualitative_result -> method -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,icml-2026-01423817c82b
