paper_id,conference,analysis_stratum,visual_narrative,caption_system,table_header_system,method_result_ablation_link,main_appendix_link,typography_consistency,color_consistency
iclr-2026-99e6f2b9fab2,ICLR,oral,"Figure 1 establishes the classification-to-explanation interface; Figure 2 gives the EmotionCoT-35K data pipeline and Table 1 quantifies feature coverage; Figure 3 supplies GRPO-PTR architecture; Table 5 tests prosody as a prerequisite; Table 2/3 report overall and human results; Figure 4 and Table 8 show grounding/failure cases; Table 4/6/7 close component, K and reward-weight ablations; Figures 5–9 preserve prompt and evaluator details in the appendix.","Figures 1–4 mostly use title plus comparison/encoding, with Figure 3 naming upper/lower regions and Figure 4 defining red/green highlights. Figures 5–9 captions only name prompt templates and parts, with little self-contained setup or finding. Table 2 has the strongest unit/metric/top-two explanation; Tables 3/6/7 are terse; Table 8 states a finding but overclaims the number of representative models.",Table 1 uses Dataset/Reasoning plus a two-level Acoustic Feature block; Table 2 uses two metric blocks; Table 4 uses Variations/Training Strategy plus SER/ER; Tables 3 and 5–7 use compact single-level headers; Table 8 uses Model/Reasoning for long text. Black/white rules are stable while narrow-table abbreviations and units depend on nearby prose.,"Figure 2/Table 1 → prosody SFT → Table 5 → Figure 3 GRPO-PTR → Table 2 main comparison; Table 4 removes RM/trust/progressive components, Table 6 changes K and Table 7 changes reward weights, while Figure 4/Table 8 supply qualitative grounding. The chain supports the paper narrative but lacks seeds, cost columns, denominators and aggregate error rates.","Section 3.1 points to Figure 2 and Appendix B; Section 3.2 points to Table 5 and Appendix C; Sections 3.3/4.2 point to Figures 3/4 and Appendices D–F. Figure 5 is B.3, Figures 6/7 are D.2, Figures 8/9 are E, and Table 8 is F. Appendix adds prompts and long outputs but no editable visual source.",Publication text/table typography is consistently Nimbus Roman with Computer Modern math; Figure 1–4 diagrams introduce ChalkboardSE and Figure 5–9 prompt cards use Aptos. The distinction is legible as modular but not globally unified.,"Main diagrams reuse pale blue/cream/lilac/green role colors and dark outlines, while Tables and appendix prompt cards intentionally stay grayscale. Red/green cue highlights in Figure 4 and checks/crosses in Table 1 provide semantics but are not robust to grayscale/color-vision limitations."
iclr-2026-9a1a4fec2317,ICLR,oral,"The visual narrative moves from the distribution concept (Figures 1–2), to pair construction and conditional decoding (Figures 3–4), to fitting/formulation ablations (Figures 5–7 and Tables 2–3), to raw/enhanced generation and novel-pose results (Figures 8–9 and Tables 4–5), then expands in the appendix into decoder details, convergence, conditioning, stress cases, interpolation, UV alignment, and texturing (Figures 10–21).","Captions consistently bold the Figure label and usually provide a title plus a short setup or panel key. Main result captions identify rendering/task structure more often than they state findings; appendix captions sometimes state a qualitative finding or limitation (Figures 15–18). Captions rarely provide sample denominators, protocols, or uncertainty.","Tables use compact one-level headers, booktabs-like horizontal rules, bold best/selected entries, and occasional cell shading/check marks. Headers generally encode method columns and a metric direction arrow, but metric definitions, evaluation units, and uncertainty are kept in nearby prose rather than the table itself.","Figures 3–4 define the aggregation, feature-map, SMPL-map, and denoising mechanism; Figures 5–7 and Tables 2–3 test pair construction, fitting design, and distribution formulations; Figures 8–9 and Tables 4–5 connect the selected design to generation quality, rendering, pose control, and human ratings. Figure 11 supplies the only explicit trajectory link.","Appendix Figures 10–21 are deliberate expansions rather than a second visual language: Figure 10 details Figure 4, Figure 11 extends Table 2/Figure 7, Figures 12–17 expand Figures 2/9 and the conditional-control/failure claims, Figures 18–20 document interpolation and UV infrastructure, and Figure 21 shows a downstream texturing use case.","LaTeX body/caption/table text is broadly Times/Nimbus Roman and Computer Modern math, but imported diagrams and geometry assets introduce Cambria, Aptos, SegoePrint, BrushScriptMT, and varying small labels. Main page-width objects are readable; single-column figures and appendix labels frequently approach 6–7 pt.","Purple/pastel modules recur in conceptual/architecture diagrams, saturated normal-like colors recur in geometry renderings, and muted earth tones recur for identity interpolation and body-condition examples. These palettes are semantically coherent within object families but not globally colorblind/grayscale safe, and no shared quantitative color scale exists."
iclr-2026-9ba8184b9ae8,ICLR,oral,Table 1 以任务级时间估计提出瓶颈；Figure 1 给出 Actor/Speculator、验证和无损并行接口；Figures 2–4 在 chess、e-commerce、HotpotQA 做 lossless accuracy/time 比较；Figure 5 转入 OS 的 lossy last-write-wins 收敛与 latency；Figure 6 做 width/threshold 的成本—延迟消融；Figure 7 解释 reaction-time 机制；Figure 8 展开 e-commerce time/price cost；Figure 9 与 Table 2 闭合 OS 累计 tokens/cost 和 convergence。孤立 Table 3 label 后的 prose 补充 context compression，但没有量化表格。,Figure/Table 标签统一以 Figure n:/Table n: 开头，通常 caption 位于对象下方，Table 2 caption 上置。Figure 1/5/7/8/9 较完整，Figure 2/3/4/6 过短；Figure 8 错写 (d)，Figure 9 在 200s 截断，Table 3 无题名/表格。error bar、band、N、聚合和不确定性很少在 caption 定义。,Table 1 为扁平四列任务表；Table 2 为两层配置→Tokens/Cost grouped header；Table 3 无表头。Table 1 的区间/单点精度和 Table 2 的 cost 小数位没有完全统一。,Figure 1 与 Algorithm 1 说明机制接口；Figures 2–4 给出 lossless 跨环境结果；Figure 5 说明 lossy OS last-write-wins；Figure 6 把 Theorem 3 的 marginal-branch logic 变成 confidence-threshold ablation；Figures 7–9/Table 2 提供 OS reaction/cost 附录证据。,正文 Figure 5 直接指向 B.3.3 的 Figure 7；正文/附录的 OS cost claim 由 Figure 9 与 Table 2 复核；Figure 8 补充 e-commerce 的 time/price cost。附录 C.2.2 的 context-compression prose 没有生成相应可读 Table 3。,正文和表格的 Nimbus Roman/数学字体稳定；图内 sans-serif 依源文件/栅格资产变化，且 raster Figures 3/4/8 与 vector Figures 2/5/6/7/9 的小字号、抗锯齿和线宽不同。,蓝/红在部分 OS 图中重复表达 baseline/joint，但 Figure 2/3/4/6/8 各自使用不同 palette；Figure 6 的 marker/label 和 Figure 9 的 legend 提供一定灰度冗余，Figures 2–4/8 主要依赖颜色。
iclr-2026-9bfcc62a75a1,ICLR,oral,"Figure 1 establishes density fidelity plus structured latent representation; Figure 2 enumerates continuous, mixture, and dynamic interfaces; Figure 3 maps Theorem 3.1/SCFM to framework and trajectories; Tables 1–4 and Figure 4 bind main claims; Figures 5–10 add appendix projections, posterior samples, predictive grids, and dynamics.","Numbered Figure/Table captions use Nimbus Roman No9 L around 9.963 pt. Main captions combine title, setup, encoding, and comparison; Figure 3 and Table 1 state findings, while Figures 7, 9, and 10 are terse. Appendix captions often omit sample counts, uncertainty, and axis/color definitions.","Booktabs tables use mathematical metric headers and ↑/↓ direction arrows, with bold displayed best values. Table 2 places OOD values in parentheses; Table 1 has an undefined parenthesized value. No table displays formal interval/error-bar notation.","Figures 2–3 explain SFA/SCFM. Table 1 tests Pinwheel density, Table 2 covers MNIST metrics and posterior variants, Table 3 isolates mixtures, Figure 4 visualizes their posterior, and Table 4/Figure 10 test RNA-seq/LDS transfer.",Figure 5 supports Table 4(a); Figure 6 supports Table 2 IID/OOD clustering; Figure 7 supports Tables 2–3 predictive quality; Figures 8–9 expand Figure 4/Table 3; Figure 10 supports Table 4(b).,Nimbus Roman No9 L and Computer Modern math are stable for PDF text/tables; embedded raster panels use a smaller sans-serif font with variable legibility.,"Black/gray structural/table ink is stable, while categorical colorbars recur with changing class counts and independent scales. Grayscale redundancy is strong for diagrams/images and weak for colored scatter/trajectory panels."
iclr-2026-9d74a65ca00d,ICLR,oral,视觉叙事从 Figure 1 的 Bayes Risk/Approximation Loss decomposition 与 critical point 开始，经 Figure 2 的 CE–Gaussian-KDE entropy 跨架构关系，Figure 3–4 的 task-position construction/accuracy–entropy response，再由 Figure 5–7 把 two-needle intuition、synthetic architecture 与 eigenvalue/CE validation 串起。附录 Figure 8/A.3-2 扩展 task/model/MaxCtl，Figure 9–16 扩展 estimator、corpus、raw loss、eigen-spectrum 与 threshold，Figure 17–18 收束到 synthetic MLP 的 ID measurement；Table 1/2 分别校准 Bayes model 和理论假设映射。,caption 统一使用 “Figure n:” 或 “Figure A.3-2.”，复合图以 Left/Middle/Right 或 Upper-left/Bottom-right 解释阅读方向。Figure 1/2/4/5/7/8/13–16/18 的 caption 写出主发现，但 Figure 3/6/9/11/15/17 更偏 setup/指针；部分 captions 用 bold lead（Figure 12、Table 2）或 bold panel labels，粗体规则不完全一致。,Table 1 使用 context length—model CE—calculated minimum 的单层指标表头；Table 2 使用 theorem/source—Key Properties Assumed—Derived Results 的单层关系表头。两表均用黑白 serif、booktabs 风格和最少高亮，没有共同的 performance/cost/failure header system。,Figure 3 定义 position-weighted query distribution，Figure 4 测量 γ 与 ctl 的行为；Figure 5/6 定义 synthetic bit/task 与 Transformer representation，Figure 7/11/17/18 分别给 spectral validation、dataset-size response 和 ID protocol。Figure 9、14、16 是 estimator/subspace/threshold robustness，Table 1 是 synthetic Bayes calibration；没有单独的 standard ablation table。,Figure 1 middle explicitly points to raw Figure 15，Figure 1 right points to Figure 8；Figure 2 points conceptually to Appendix G，Figure 3/4 extend through Figure 8/A.3-2，Figure 7 depends on Table 1 and is elaborated by Figures 9/14/16。Appendix D Table 2 and proofs formalize main assumptions; Appendix K Figures 16–18 bridge intrinsic entropy and intrinsic dimension.,PDF body/table uses Computer Modern/Nimbus Roman around 9–11 pt；embedded charts use DejaVu Sans/other sans around 5–9 pt，math labels混用 Computer Modern math。概念图与 chart caption 的字号/字重并不完全一致，appendix raster figures 的小字号是主要可读性瓶颈。,viridis 顺序色是最稳定的 quantitative encoding，重复用于 context length、dataset size、eigenvalue N 和 threshold；但相同颜色在不同 figure 的语义会切换。蓝/橙/绿/紫概念图承担 role labels，模型/任务没有跨图固定 palette。绝大多数 quantitative series 没有 marker/linetype 冗余，因此 grayscale safety 偏弱。
iclr-2026-9dbde6327464,ICLR,oral,"Table 1 establishes LM text alignment; Figure 1 turns it into structured-description and object-centric-generation interfaces; Tables 2–3 provide headline and semantic-QA results; Figure 2 supplies aligned qualitative rows; Tables 4–5 test latent choice and module necessity; Appendix Figures 3–6 and Tables 7–9 expose failure, object-count, cross-dataset and search boundaries, while Figure 7 expands keyword search to all candidates.","Captions use Figure/Table n prefixes, put Table captions above tables and Figure captions below figures, and often define metric directions and red best highlighting. Figure 1 is most self-contained; Figures 4–6 and Table 9 are title-only/near-title-only, and ± notation, sampling and aggregation often remain in prose.","PixCorr, SSIM, LPIPS, CLIP and Inception V3 with ↑/↓ recur across Tables 2, 4, 5, 7 and 8; rank×round keyword headers recur in Tables 6 and 9. Table 2 adds dataset groups/backbone conditions, and Table 3 defines method abbreviations in its caption.","Figure 1 text latent and object-wise cross-attention map to Table 1 alignment, Table 4 latent reconstruction and Table 5 module deletion. Figures 4–6 illustrate branches evaluated by Tables 5 and 8, while Table 3 QA is adjacent to but statistically separate from Figure 2.",Main Table 4 points to Appendix Table 7; main Table 6 is expanded by Figure 7 and stress-tested by Table 9; Figure 1 object-centric blocks are instantiated by Figures 3–6 and constrained by Table 8. Appendix I–K preserve prompt parameters/prompts but not seeds or participant count.,"Georgia/Nimbus Roman dominates captions, tables and diagram labels; Computer Modern/CambriaMath handles equations; NimbusMonL is used for keyword table entries. PDF font objects are mixed and small sizes are estimated.","Pastel module colors and red best-value highlighting are coherent across method and quantitative subsystems, but natural image colors are not semantic encodings and Figure 7 gray/coral key is not grayscale-safe."
iclr-2026-9f44d179b34e,ICLR,oral,Figure 1 先把 hard safety constraint 的组件差异画成 Safe RLHF 对 SafeDPO；§3–4 的 r_c=-∞、T(D) 和 ∆ 机制随后由 Figure 2 的双 evaluator 主比较、Figure 3 的 margin 曲线和 Table 1–3 的尺度、人评、XSTest 结果承接。附录 Tables 4–18 固定配置、额外 baseline、evaluator overoptimization、seed/效率与 Figure 2 exact values；Figure 4 和 Tables 19–23 检查模板与安全控制后的 pairwise 结果，Tables 24–29 提供案例级文本证据。,Figure caption 以标题开头，主图 2/3 解释 evaluator、阈值或 baseline 线，Figure 4 指向补充表；主 Table 1–9 多为短标题，Tables 10–16 才把设置、缺失阶段或主解释写进 caption。Qualitative Tables 24–29 的 caption 只标案例序号，不能替代表内长 response。,数值表使用粗体单层 Metric/Method 表头，pairwise 表 Tables 19–22 使用 Harmlessness/Helpfulness 的二层 win/tie/lose 表头，Table 12 使用 Evaluation × safety-pair 两层分组；百分比、score、秒数和 ✓/✗ 都由列名或 caption 指定。,Figure 1 的 reward/cost 删除与 safety indicator 输入在正文方法中转为 T(D) 三分支；Figure 2/主表给结果，Figure 3 与 Tables 5–7 把 ∆ 单独施加到变体上，Tables 14–16 再从网络、时间和 supervision 三个成本维度验证 interface 简化。,主文只保留 Figure 1–3、Tables 1–3 和短结论；Appendix C/D 通过 Tables 4–23、Figure 4 和 qualitative Tables 24–29 给出 exact values、template/judge counterevidence、safe-safe 控制及失败案例。正文指针存在，但 Table 12 denominator、Prop.4.2 penalty notation 和 evaluator coupling 仍需读者跨页拼接。,正文/附录的可搜索内容保持 Nimbus Roman No9 L、Computer Modern 数学字体和粗体 section/caption 层级；图内 raster 使用无衬线大轴标签与大字号标题，和表格的 serif 小字号有明显视觉断层。qualitative response 使用 Nimbus Mono L，功能上强化了 prompt/output 区分。,Figure 2 与 Figure 3 共享八方法调色板及 SafeDPO 蓝色；Figure 4 复用五方法但将 DPO-HARMLESS 与 SafeDPO 颜色改为蓝/绿子集，需依赖各自图例。Figure 1 的红/蓝语义不与方法 palette 混用；表格总体黑灰，只有 Table 12 的 S/U header 使用红蓝文本。
iclr-2026-a2b879220593,ICLR,oral,"Figure 1 motivates heterogeneous sensitivity, Figure 2 defines the federated data/reward boundary, Tables 1–3 compare baseline and matched-noise utility, Tables 4–5 and 8–9 cover white-box/LiRA MIA, Table 6 ablates λGP, Table 7 compares LDP with central training, Table 10 tests user participation, and Figure 3 summarizes best-over-λGP trends.",Captions start with Figure/Table number and generally state setup and comparison. Figure 2 is title-only; Tables 4/5/8/9 report member split only for some attack settings and never define ±; Figure 3 caption says λGP includes 0 while the surrounding text says 1.,"Tables group methods and protocol variables through one- or two-level headers: noise groups in Tables 2/3/6/7/10, attack method/metric groups in Tables 4/5/8/9, and LDP/Central or user-percentage groups in Tables 7/10. Method abbreviations PG and PATEGAIL++ variants require prose expansion.","Figure 2 and Eqs. (4)–(9) define local discriminators, adaptive Laplace aggregation, LDP and WGAN-GP; Tables 1–5/7 report utility and MIA, Table 6 supplies fixed λGP ablation, Figure 3 takes its best-over-λGP summary, and Table 10 supplies user-subset robustness.","Main Tables 4/5 establish Geolife MIA and Appendix Tables 8/9 repeat the threat models on Telecom; main Table 6 feeds Appendix Figure 3; §4.2 defers user-subset results to Appendix Table 10. Core utility/privacy claims remain in the main paper, while cross-dataset and configuration-selection claims depend on the appendix.","Table families consistently use Nimbus Roman No9 L with Computer Modern math and approximately 8.5/9.5 pt body/header sizes. Figure 1/2 use serif labels, Figure 3 uses small sans-serif raster labels; the figure switch is role-driven but creates a small-size readability gap.","Color is local to figures and semantic rather than globally quantitative: route roles in Figure 1, computation/communication roles in Figure 2, and methods in Figure 3. Tables are grayscale, so cross-object comparison depends on labels, bold, and rules rather than color."
iclr-2026-a360ac840b2a,ICLR,oral,"Figure 1 defines the training–inference path mismatch; Tables 1–4 deliver protein/text/code headlines; Figures 3–4 test convergence, sampling, temperature, τ, and α; Appendix Table 5/6 isolate inference planners; Figures 5–6 and Table 7 expose instability and approximation limits.",Figure captions use bold title plus setup/comparison and often state the main finding. Table 1–2/4 captions define metrics and regimes; Tables 3/5–7 are shorter and rely more on body text for conditions and interpretation.,"Tables use model/scale, sampling step, benchmark, or approximation term as top-level groups and metric as the lower-level header. Arrows, daggers, bold, and dashes encode direction, provenance, best values, and unavailable cells.","Figure 1’s planner-aware loss is evaluated in Tables 1–4, stress-tested by Figure 3/4, separated from inference planner effects in Tables 5/6, and bounded by Figures 5/6 and Table 7.","Main pages carry cross-domain headline tables and the first ablation figures; Appendix B adds planner controls and Appendix C adds pure-loss failure, training dynamics, and approximation decomposition.",Nimbus Roman/Computer Modern typography and booktabs rules are stable across seven tables; figure captions use the same body family while raster plot labels are smaller and less inspectable.,"Figure 1 gray/purple paths, Figure 2 green ribbons, and Figure 3–6 curve colors are local semantic encodings rather than one global palette. Tables stay grayscale, making their structure more robust to printing than the line figures."
iclr-2026-a52a988a4775,ICLR,oral,Table 1 先建立“方法—假设—通信/本地复杂度”的理论账本；Figure 1 给出合成任务主比较，Figure 2 将比较连接到 δ/L₁ 诊断；Figure D.1 在附录补齐每轮 server/client 接口；J.1–J.6 逐个隔离初始化、p、λ、β、C_A/C_R 和 n_m；J.7–J.9 及 J.1–J.4 表格把故事扩展到 EMNIST/CIFAR10 的训练轨迹、超参数和终点点值。,17 个对象均采用“标签：Comparisons/Illustration/Performance + 设置对象”的短 caption，caption 文字全部为普通衬线而非粗体 headline。只有 Table 1 在 caption 直接写出 I-CGM-RG-SAGA 的 best 主发现；其余图表依赖正文、图例或表头定义 axes、颜色、重复和不确定性，因而大多数 figure caption 不能独立复现阅读。,Table 1 用五列理论账本（Method、Communication complexity、Assumption、Local complexity、VR type）；J.1/J.3 用 optimizer/超参数两列；J.2/J.4 把六个方法横向展开为单行 Accuracy。表格均采用黑白、粗体表头和部分网格/横线，J.2/J.4 用粗体标出单表最高点，但没有颜色或不确定性列。,Method/assumption → Table 1 complexity ledger → Figure 1–2 main comparisons → J.1–J.6 parameter and cost interventions → J.7–J.9 neural-network extensions; J.5 是唯一只改变操作成本 C_A/C_R 的直接机制检验。,正文只保留 Table 1、Figure 1–2 与主理论，明确把算法定义、related-work model、cost-ratio/scale ablations 和深度学习细节指向 Appendix C/D/J。附录 Figure D.1、J.1–J.9 和 Tables J.1–J.4 对正文主张提供接口、机制、复现参数和不利点值，但阅读这些对象仍需回正文定义符号。,caption 和表格均以 Nimbus Roman No9 L/Computer Modern 为核心；图内曲线标签主要是 DejaVu Sans，D.1 还出现 LM Roman。PDF 对象可确认字体存在，但小图内字号约 4–7 pt，远低于 caption，造成图内标签的可读性差异。,方法曲线反复使用蓝/红/绿/黑/紫/粉/橄榄类别色，但颜色的精确 RGB 随对象变化；诊断量常复用橄榄/蓝。没有统一色板或线型编码协议，故彩色显示连贯而灰度/跨图语义不稳定；Tables 及 D.1 的黑白/角色冗余较一致。
iclr-2026-a60437a1dcad,ICLR,oral,引言先用 Figure 1 分类信息路径，Figure 2 把 BioX-Bridge 变成训练/推理/架构接口，Figure 3 将位置选择拆成 input quality 与 output similarity；Table 1 给六方向主结果，Figure 4/Table 2–3 给容量、选层和 backbone 消融，附录再用 A1 split、A1–A3 方差、A2–A5 逐层、A6–A8 九位置热图、A9–A10 低数据和 A8/A9 robustness 闭合证据。,所有对象使用“Label: title.”开头；图 caption 负责面板/颜色/选择线说明，表 caption 负责数据集、方向、指标或比较对象。主表明确五 seed 均值和附录方差位置，附录表直接写 mean±std；Figure 4/A9/A10 的浅蓝 band 没有定义统计含义，是 caption system 的主要缺口。,结果表统一以 Methods、Input Modality、Balanced Accuracy、F1 Macro、F1 Weighted、Trainable Parameters 为骨架，用 ↑/↓ 标出方向；Table 1 额外以数据集/旧→新方向两级表头分组，A7 增加 Model Size。各表两位小数基本一致，但 Random/Oracle point values 与 mean±std 混排。,Figure 2/3 对应中间表示桥接、Eq. (4)–(7) 和 Algorithm 1；Table 1 绑定主结果，Figure 4、Table 2–3 和 A4–A8/A9–A10 分别检验 bridge capacity、position strategy、backbone identity/size、架构与 split 稳定性。,正文 Table 1–3 只报均值并把 SD 指向附录；Figure 4 指向 D.6，Table 2 指向 D.5，Figure 3 的选层语义在 A2–A8 中展开。Appendix D 同时承载 split、预处理、完整方差、逐层曲线、热图和 reshuffled split，承担主要复现与边界证据。,表格和 caption 的 Nimbus Roman/Computer Modern 稳定；示意图采用 Avenir/Barlow，结果图轴标签可见 Arial/DejaVu Sans 字体对象。数学符号与正文一致，但图内字体家族跨子系统不同。,浅蓝/粉紫在 Figure 1/2/A1 复用 old/new 语义；蓝线/红线在 Figure 4/A9/A10 复用性能/参数语义；红虚线在 A2–A5 复用 selected layer，Blues 在 A6–A8 复用 BAcc。表格不使用填色，颜色语义不能完全迁移到灰度或未定义 band。
iclr-2026-ac7703f2b4ec,ICLR,oral,"The visual narrative starts with Figure 1’s physical-law counterexample and Figure 2’s benchmark scope, then establishes coverage in Table 1 and the main aggregate decision surface in Table 2. Figure 3 turns complementarity and local/global alignment into a heatmap-plus-scatter, Figure 4 adds practical cost, and Appendix Figures 5–9 connect split design, rank stability, feature-level mechanism categories, predictor robustness, and independent-set behavior to the same benchmark claims. Tables 3–9 define the dataset/model universe, Tables 10–21 expose reproducibility settings, Tables 22–37 test extensions and sensitivities, and Tables 38–66 restore per-dataset raw evidence.","Captions generally begin with a bold short title and then provide setup, comparison, and selected interpretation. Main Figure 3 and Table 2 captions state their headline relation; Figure 4 and Tables 22–37 add selective uncertainty/p-value or appendix pointers. Raw tables repeat a long caption that defines mean ± std, first/second/third highlighting, CI abbreviation, and the local/global generator-family interpretation. Captions do not uniformly define error-bar/band statistics or all denominators, so surrounding prose remains necessary.","The main metric tables use a two-level grouped header: generator rows followed by Density Estimation, Privacy Preservation, ML Efficacy, and Structural Fidelity subcolumns. Scope tables switch to nested classification/regression or generator-category headers; registries use descriptive metadata columns; hyperparameter tables use a flat Hyperparameter/Range header; compact appendix analyses use outcome-column or condition-by-metric headers. The fixed generator/metric order across Table 2 and Tables 38–66 is the strongest cross-object header contract.","Figure 1 supplies the conceptual structural-fidelity mechanism and Figure 2 defines the benchmark interface; Figure 5 fixes the split protocol. Table 2 and Figure 3 quantify metric complementarity and global/local alignment. Figure 6, Table 24/25, and Figure 8 test ranking stability; Figure 7 and Tables 32–37 supply mechanism/robustness slices; Table 31 is the explicit GReaT column-order controlled variant; Figure 9 is a split-variant check rather than a component ablation. No conventional named component-ablation section is present.","Main Figures 1–4 and Tables 1–2 carry the paper’s decision spine. Appendix Tables 3–9 define scope and datasets; Tables 10–21 document tuning; Tables 22–37 extend metric validity, confounding, causal inference, availability, and formulation robustness; Tables 38–66 provide raw per-dataset values. Appendix Figures 5–9 are explicitly called by the main text or Appendix E and close protocol, mechanism, and robustness gaps without changing the main metric grammar.","The surrounding paper and tables predominantly use Nimbus Roman/Times-like text with Computer Modern math; PDF font objects also expose Calibri/Aptos/Cambria Math in embedded figure/material components. Table typography is more consistent and usually high-confidence from PDF objects, while figure-internal labels are smaller and mixed sans/serif. The appendix’s wide tables and 21-panel Figure 7 operate near the lower readable limit.","Green/red binary marks and teal/purple/orange rank text are reused in tables, while plot families use separate categorical palettes. Blue/orange carries reference-versus-synthetic or independent-set semantics in Figures 5 and 9; blue lines/bands encode utility in Figure 7; generator hues are repeated in Figures 6 and 8. The semantics are locally consistent but not globally uniform, and grayscale safety is limited."
iclr-2026-b22813abf7f0,ICLR,oral,Figure 1 先建立长上下文 headline；Figures 2–4 解释 chunk/memory 读写和 Multi-conv RL；Tables 1–3 给出主结果；Figures 5–9 按 NIAH、RL removal、容量和 QA 异质性展开；Table 4 做位置 probe；Appendix Tables 5–7 绑定 prompt/config，Figure 10 给复杂度 estimator，Tables 8–11 扩展容量和 RAG 对照。,Figure 1–4 的 caption 较完整地说明方法/比较，Figure 5–10 及 Table 3、6–9 多为标题式短 caption；Table 2、4、10、11 显式定义部分编码或 chunk 规则。所有对象都缺少 seed/分母/不确定性定义。,主结果表使用 Model/Method 加长度、任务或指标的单/二层 header，并用 booktabs 横线做模型家族分组；附录配置/提示表改用单列文本或 YAML。联合容量与 RAG 表将配置写入长方法键，但不总是把资源约束写入表头。,Figures 2–4 的固定 memory、读写和 Multi-conv advantage 接到 Tables 1–3/Figure 5 的长程结果，再由 Figures 6–9、Table 4 和 Tables 8–9 检验 RL、位置和容量；RAG Tables 10–11 是 workflow-level 对照。,正文 Figure 1–9 与 Tables 1–4 建立 headline/机制/消融链；Appendix Table 5–7 提供 prompt、baseline generation 和 NIAH 配置，Figure 10 将 O(N) 解释转为 FLOP estimator，Tables 8–11 提供容量与 RAG 的精确切片；Appendix F 以文字呈现 overwrite、missing-information 和 primacy 失败案例而没有独立图表。,正文和 caption 以 Nimbus Roman 为主，图表文字常换为 DejaVuSans/Arial，Table 5/7 使用 NimbusMon；PDF 字体对象支持约 5–13 pt 的图内/表内混排，宽表和热图小字号是主要可读性瓶颈。,每个对象内部的颜色通常和位置、线型、marker、数字或 text style 冗余；但 RL-MemAgent 在 Figure 1/6/7/9 中没有统一颜色，方法箭头、热图和表格另用不同语义 palette，灰度安全性整体有限。
iclr-2026-b879ca6dd1a4,ICLR,oral,"Figure 1 states the Gaussian-representation headline; Figure 2 maps theory to alignment/uniformity; Figure 3 combines synthetic radial and coordinate diagnostics; Figure 4 shows the CIFAR training trajectory; Tables 1–2 quantify endpoint and pretrained comparisons; Appendix Figures 5–11 add theory intuition, model breadth, whitening and likelihood-ordering checks.","Captions begin with a bold short title, then describe setup, encoding and directional finding. Figures 7–10 explicitly identify zoom, state and axis semantics; Table 1 defines metric direction and epoch conditions; Table 2 places thresholds in headers but leaves joint-Gaussian scope to the body.",Table 1 separates Synthetic (Linear) and CIFAR-10 (ResNet-18) groups; Table 2 nests AD/DP average and compliance subcolumns and pairs Unnormalized/Normalized values. Both terminate in a Gaussian? decision column.,"Figure 2 and Figures 7–8 operationalize alignment plateau and uniformity; Figures 3–4 and Table 1 test thin-shell/normality predictions and the supervised control; Table 2 and Figures 6, 9–11 extend the diagnostic mechanism to pretrained models, whitening and likelihood ordering.","The main text points to Appendix E.1/E.2 for implementation and extra plots, to Figures 7–8 for alternate views, and to Appendix D for the exact plateau-bound extension visualized in Figure 5. Appendix objects extend conditions without replacing the main evidence chain.","NimbusRomNo9L/Times-like body and caption typography is stable; chart labels use a recurring handwritten Kristen-like style, with some later labels available as PDF KristenITC/CambriaMath objects. Size and raster/vector provenance vary by object.","Blue, green, red and purple recur for model or condition identity, while Figure 2–3 introduce gradients and multiple categorical factors. Most semantic distinctions rely on color without shape/line redundancy; direct labels partly mitigate this."
iclr-2026-c4f15a7f203b,ICLR,oral,"Figure 1 teaser → Figures 2–4 recursive bottleneck/truncation/RLR mechanism → Table 1 estimator attributes → Tables 2–3 main task comparisons → Figure 5 training dynamics and Figure 6 DCoT interface → Tables 4–5 hand-task/ablation → Appendix Figures 7–11 qualitative/prompt artifacts and Tables 6–10 resource, solver, h and complete VBench evidence.",caption 以 Figure/Table n + 普通标题为主；Figure 1 有 Appendix pointer，Table 2/3/Figure 6 带少量 setup/aggregation。多数 caption 未定义 color/line/band、seed、sample count、单位或缩写；Figure 3/5 的 band 尤其缺统计定义，headline-bold caption 和具体主发现很少。,主结果表复用 PickScore/HPSv2/AES/ImageReward；Table 2、Table 10 使用 dataset/panel 的两级 header，Table 3/10 展开 VBench dimensions，成本表显式写 GB/minute。存在 Alignprop/AlignProp、Vbench/VBench、Text to Image/Text2Image 和 Table 4 RLR w/o 不完整命名差异。,Table 1 的 FO/HO/ZO 属性 → Figure 4 的链重排 → Figure 5 动态与 Table 2 终点 reward → Table 5 组件删除 → Table 9 h sweep + memory/time；理论 unbiasedness/variance 由正文和 proofs 支撑，但视觉对象不提供重复或误差。,Figure 1 → Figures 7–9；Figure 6 → Figures 10–11；Table 2 → Tables 8–9；Table 3 → Table 10；Table 1 → Tables 6/9。附录扩展主文对象而非另起主题，但主文 caption 只有 Figure 1 明确给出附录指针。,正文、caption、表格均为 Nimbus Roman/Times-like roman + Computer Modern math，表头/最佳值 bold；diagram asset 内部字号和字形来自嵌入 raster/混合源，qualitative grid 的 prompt 与小表文字偏小。,Figure 2/4/6 的蓝/绿/红/黑按操作角色复用并配合直接标签；Figure 3/5 的 categorical curve colors 只在各图局部稳定，未形成跨图方法色语义；表格灰底+bold 高亮策略较一致，灰度下仍可读但彩色曲线区分下降。
