paper_id,conference,analysis_stratum,kind,module,label,page,purpose
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 9,17,按10个physics category细分12模型SA/PC/Both。
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 10,18,给出CAP第一阶段视频描述prompt。
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 11,18,给出CAP第二阶段结构化Yes/No prompt。
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 12,18,给出Detailed Prompt refinement query。
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 13,19,列出12模型在失败样本中的static-scene rationalization rate。
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 14,32,列出各模型生成视频时长2–8秒。
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 15,32,并列human与CAP的开源/闭源leaderboard。
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 16,33,报告abrupt与non-abrupt paired prompts的pass/total与rate。
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 17,33,报告complex与less-complex paired prompts的pass/total与rate。
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,introduction,Figure 1,2,"Threshold response to temperature for p-less, min-p, and top-p."
iclr-2026-ff40de6c7ac1,ICLR,oral,table,results,Table 1,7,Normalized accuracy-temperature AUC for three models and four reasoning datasets.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,results,Figure 2,7,"Llama2-7b accuracy-temperature curves for CSQA, QASC, and GSM8K."
iclr-2026-ff40de6c7ac1,ICLR,oral,table,results,Table 2,8,Length-controlled creative-writing win rate for two models and 100 prompts.
iclr-2026-ff40de6c7ac1,ICLR,oral,table,results,Table 3,8,"Per-token sampling-time mean, standard deviation, and standard error."
iclr-2026-ff40de6c7ac1,ICLR,oral,table,results,Table 4,9,QASC n-gram diversity across methods and temperatures.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,results,Figure 3,9,Selected QASC accuracy-diversity points and conditional Pareto frontier.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,results,Figure 4,10,Step-wise entropy and token-admission traces for min-p error and p-less success.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 5,19,Temperature effects for a small synthetic vocabulary.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 6,20,Thresholds across synthetic distribution profiles.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 7,21,Long-tail admission at moderate vocabulary size.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 8,22,Long-tail admission at large vocabulary size.
iclr-2026-ff40de6c7ac1,ICLR,oral,table,appendix,Table 5,23,Temperature-specific accuracy for the three primary models.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 9,23,Llama2-7b GPQA accuracy-temperature curve.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 10,24,Mistral-7b accuracy-temperature curves for four reasoning datasets.
iclr-2026-ff40de6c7ac1,ICLR,oral,table,appendix,Table 6,24,"Greedy, two beam sizes, and p-less at temperature 1.0."
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 11,25,Llama3-70b accuracy-temperature curves for four datasets.
iclr-2026-ff40de6c7ac1,ICLR,oral,table,appendix,Table 7,26,Decoding methods on DeepSeek-R1-Distill-Qwen-7B.
iclr-2026-ff40de6c7ac1,ICLR,oral,table,appendix,Table 8,26,Baseline hyperparameter sweep for Llama2-7b.
iclr-2026-ff40de6c7ac1,ICLR,oral,table,appendix,Table 9,27,Generalized Rényi-order threshold ablation.
iclr-2026-ff40de6c7ac1,ICLR,oral,table,appendix,Table 10,28,N-gram diversity for three models and four datasets.
iclr-2026-ff40de6c7ac1,ICLR,oral,table,appendix,Table 11,28,p-less temperatures 2.25/2.5 for diversity matching.
iclr-2026-ff40de6c7ac1,ICLR,oral,table,appendix,Table 12,29,Mean generation lengths across the full primary matrix.
iclr-2026-ff40de6c7ac1,ICLR,oral,table,appendix,Table 13,30,Mean entropy and admitted-token count for three methods.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 12,30,Entropy histograms by admitted-token bin at temperature 0.5.
iclr-2026-ff40de6c7ac1,ICLR,oral,table,appendix,Table 14,30,Pairwise t-tests of per-token timing.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 13,31,Entropy histograms at temperature 1.0.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 14,31,Entropy histograms at temperature 2.0.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 15,32,Complete p-less PyTorch sampling function.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 16,32,Binned CPU time during generation.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 17,33,Binned RAM use during generation.
iclr-2026-ff40de6c7ac1,ICLR,oral,table,appendix,Table 15,33,CPU time and RAM summary.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 18,43,Arithmetic failure aligned with entropy/admission spike.
iclr-2026-ff40de6c7ac1,ICLR,oral,figure,appendix,Figure 19,43,Question-interpretation failure aligned with early uncertainty.
iclr-2026-707ee355091a,ICLR,oral,table,results,Table 1,8,比较 mutually-exciting synthetic data 上 5 个方法随 T 增长的 Δ² 与 CPU time。
iclr-2026-707ee355091a,ICLR,oral,table,results,Table 2,9,比较 refractory synthetic data 上准确率与训练时间。
iclr-2026-707ee355091a,ICLR,oral,table,ablation,Table 3,9,检验 support window A 的准确率—计算成本敏感性。
iclr-2026-707ee355091a,ICLR,oral,table,results,Table 4,10,比较 financial data 上 test nll 与 CPU time。
iclr-2026-707ee355091a,ICLR,oral,figure,appendix,Figure 1,14,展示 mutually-exciting scenario 的 9 个 true/estimated triggering kernels。
iclr-2026-707ee355091a,ICLR,oral,figure,appendix,Figure 2,14,展示 refractory scenario 的 excitation/inhibition kernel 形状恢复。
iclr-2026-707ee355091a,ICLR,oral,table,appendix,Table 5,21,在更大 N 上比较 Ours 与 Bonnet 的 CPU time。
iclr-2026-707ee355091a,ICLR,oral,table,appendix,Table 6,22,比较 U=3 与 U=15 时所有方法的平均 CPU time。
iclr-2026-707ee355091a,ICLR,oral,table,appendix,Table 7,22,测量 Ours 从 U=10 到 500 的 CPU scaling。
iclr-2026-707ee355091a,ICLR,oral,figure,appendix,Figure 3,22,用 log-log curve 将 measured training time 与 O(U³) reference 比较。
iclr-2026-707ee355091a,ICLR,oral,table,appendix,Table 8,23,把 training T 对应的 kernel Δ² 与固定 T=7000 test nll 并列。
iclr-2026-3dfd982128a2,ICLR,oral,figure,introduction,Figure 1,2,全宽两面板任务图：点对应、warp field 与 M∘φ 使用位置/箭头编码；pipeline 以 green 标 optimizable warp、red 标本文优化的 bottlenecks。
iclr-2026-3dfd982128a2,ICLR,oral,figure,method,Figure 2,4,全宽方法图与 memory pie charts；dark red 编 intermediate HBM，blue 编 registers，green 编 shared memory。
iclr-2026-3dfd982128a2,ICLR,oral,figure,method,Figure 3,5,左侧系统流程用颜色标 GP halo 与 Ring Sampler；右侧 log-scale scatter/curve 用 GPU memory 对 voxel size 比较 FFDP、CLAIRE 与 deep baselines。
iclr-2026-3dfd982128a2,ICLR,oral,figure,method,Figure 4,6,三面板示意 random-access shard 问题、ring 传输及 bilinear partial-sum decomposition；以 shard 位置与箭头编码通信。
iclr-2026-3dfd982128a2,ICLR,oral,figure,results,Figure 5,7,面板 (a) 为三分辨率×方法的密集结果表，(b)/(c) 用 scatter 位置编码 accuracy–GPU compute/time；green/yellow 编 best/second，† 编 patch-based。
iclr-2026-3dfd982128a2,ICLR,oral,figure,results,Figure 6,8,100µm FLASH fixed、registered moved、250µm moving 的定性切片并列，任务是显示 cerebellar white matter 对齐。
iclr-2026-3dfd982128a2,ICLR,oral,figure,ablation,Figure 7,9,多面板 kernel ablation，以 curves/bars 比较 LNCC、MI、grid sampler 与 scaling-and-squaring 的 runtime/HBM。
iclr-2026-3dfd982128a2,ICLR,oral,table,results,Table 1,9,上半比较 TransMorph loss/config 的 training time、GPU memory、validation DSC；下半比较 FireANTs loss backends 的 Dice、runtime、memory。
iclr-2026-3dfd982128a2,ICLR,oral,figure,ablation,Figure 8,10,(a) weak-scaling 与 per-GPU memory curves；(b) fMOST qualitative boundary artifacts，以 red arrows 标 no-GP 错误。
iclr-2026-935af26c0a67,ICLR,oral,figure,introduction,Figure 1,2,把威胁模型压缩为攻击者植入、发布、基模通过检查、用户微调、行为激活五步。
iclr-2026-935af26c0a67,ICLR,oral,figure,results,Figure 2,5,展示 PHI-2 的广告注入率随用户微调步数上升，而基线维持接近零。
iclr-2026-935af26c0a67,ICLR,oral,table,results,Table 1,5,比较两个模型在四个数据集微调前后的广告注入 ASR。
iclr-2026-935af26c0a67,ICLR,oral,table,results,Table 2,5,比较广告注入 FAB 模型与 instruction-tuned 基线的七项效用基准。
iclr-2026-935af26c0a67,ICLR,oral,table,results,Table 3,6,比较 FAB 与 provider-aligned 基线的 jailbreak ASR。
iclr-2026-935af26c0a67,ICLR,oral,table,results,Table 4,6,比较 jailbreak 攻击前后模型在七项效用基准上的表现。
iclr-2026-935af26c0a67,ICLR,oral,table,results,Table 5,7,比较两个模型的 over-refusal ASR，并保留任务冲突造成的失败。
iclr-2026-935af26c0a67,ICLR,oral,table,results,Table 6,7,比较 over-refusal FAB 与 instruction-tuned 基线效用。
iclr-2026-935af26c0a67,ICLR,oral,table,ablation,Table 7,8,同时检验用户微调步数、方法、学习率、优化器、调度器以及 noise 组件。
iclr-2026-935af26c0a67,ICLR,oral,table,ablation,Table 8,9,检验 meta-learning 步数、loss 组件及 meta-learning 数据集。
iclr-2026-935af26c0a67,ICLR,oral,table,results,Table 9,9,检验 logits-distillation 与 DPO 能否激活 FAB。
iclr-2026-935af26c0a67,ICLR,oral,algorithm,method,Algorithm 1,4,给出 FAB 外层更新、内层模拟微调、noise 与 regularization 的可执行顺序。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 3,16,给出三类主攻击在完整用户微调轨迹中的 ASR 曲线，并并列 compromised 与 baseline。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 4,16,给出三类主攻击在完整用户微调轨迹中的 ASR 曲线，并并列 compromised 与 baseline。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 5,17,给出三类主攻击在完整用户微调轨迹中的 ASR 曲线，并并列 compromised 与 baseline。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 6,17,给出三类主攻击在完整用户微调轨迹中的 ASR 曲线，并并列 compromised 与 baseline。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 7,18,给出三类主攻击在完整用户微调轨迹中的 ASR 曲线，并并列 compromised 与 baseline。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 8,18,给出三类主攻击在完整用户微调轨迹中的 ASR 曲线，并并列 compromised 与 baseline。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 9,19,展开不同用户微调总步数下 full FAB 与 no-noise FAB 的完整轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 10,19,展开不同用户微调总步数下 full FAB 与 no-noise FAB 的完整轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 11,19,展开 LoRA 与 full finetuning 的完整 ASR 轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 12,20,展开 LoRA 与 full finetuning 的完整 ASR 轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 13,20,展开四个 learning rate 选项下的完整 ASR 轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 14,20,展开四个 learning rate 选项下的完整 ASR 轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 15,21,展开四个 learning rate 选项下的完整 ASR 轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 16,21,展开四个 learning rate 选项下的完整 ASR 轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 17,22,展开 Adafactor、AdamW、SGD 下的完整 ASR 轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 18,22,展开 Adafactor、AdamW、SGD 下的完整 ASR 轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 19,22,展开 Adafactor、AdamW、SGD 下的完整 ASR 轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 20,23,展开三种 scheduler 下的完整 ASR 轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 21,23,展开三种 scheduler 下的完整 ASR 轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 22,23,展开三种 scheduler 下的完整 ASR 轨迹。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 23,24,展示模拟微调步数从 1 到 100 对攻击建立速度和峰值的影响。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 24,24,展示模拟微调步数从 1 到 100 对攻击建立速度和峰值的影响。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 25,25,展示模拟微调步数从 1 到 100 对攻击建立速度和峰值的影响。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 26,25,展示模拟微调步数从 1 到 100 对攻击建立速度和峰值的影响。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 27,25,展示模拟微调步数从 1 到 100 对攻击建立速度和峰值的影响。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 28,26,分离 meta-learning 与 noise loss 的必要性与协同作用。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 29,26,分离 meta-learning 与 noise loss 的必要性与协同作用。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 30,26,分离 meta-learning 与 noise loss 的必要性与协同作用。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 31,27,比较四个 meta-learning 数据集对跨数据集触发泛化的影响。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 32,27,比较四个 meta-learning 数据集对跨数据集触发泛化的影响。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 33,27,比较四个 meta-learning 数据集对跨数据集触发泛化的影响。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 34,28,比较四个 meta-learning 数据集对跨数据集触发泛化的影响。
iclr-2026-935af26c0a67,ICLR,oral,figure,appendix,Figure 35,36,展示内层 meta-learning 步数与端到端训练时间的近线性关系。
iclr-2026-935af26c0a67,ICLR,oral,table,appendix,Table 10,28,验证主文用户微调配置确实改变对应任务基准。
iclr-2026-935af26c0a67,ICLR,oral,table,appendix,Table 11,29,展示 FAB outer-step checkpoint 的微调前后 ASR。
iclr-2026-935af26c0a67,ICLR,oral,table,appendix,Table 12,29,展示 outer-step checkpoint 的七项效用基准。
iclr-2026-935af26c0a67,ICLR,oral,table,appendix,Table 13,30,验证移除 meta-learning loss 后 noise 单独无法植入 dormant behavior。
iclr-2026-935af26c0a67,ICLR,oral,table,appendix,Table 14,30,展示 λreg 对七项效用基准的影响。
iclr-2026-935af26c0a67,ICLR,oral,table,appendix,Table 15,31,展示 λreg 对 dormancy 与触发 ASR 的双重影响。
iclr-2026-935af26c0a67,ICLR,oral,table,appendix,Table 16,31,检验 16/8/4-bit quantization 作为 FAB proxy trigger。
iclr-2026-935af26c0a67,ICLR,oral,table,appendix,Table 17,32,检验不同 per-layer Gaussian noise norm 作为 FAB proxy trigger。
iclr-2026-935af26c0a67,ICLR,oral,table,appendix,Table 18,32,展示 Galician task-specific FAB 同时提高域内得分并保留攻击。
iclr-2026-935af26c0a67,ICLR,oral,table,appendix,Table 19,33,展示 sudo keyword 条件化广告注入只在关键词存在时激活。
iclr-2026-935af26c0a67,ICLR,oral,table,appendix,Table 20,33,比较 keyword-conditioned FAB 与基线的七项效用基准。
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,abstract,Figure 1,1,Front-load the 39% drop and the aptitude/reliability framing.
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,method,Figure 2,3,Show the simulator loop from shard reveal through grading.
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,method,Figure 3,4,Differentiate information-disclosure schedules and controls.
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,experimental_design,Figure 4,5,"Make task coverage, sharding, sources, and evaluation concrete."
iclr-2026-a6ddc629568b,ICLR,outstanding,table,results,Table 1,7,Serve as the central performance matrix and model-level degradation summary.
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,results,Figure 5,7,Connect metric definitions to cross-model reliability and gradual sharding.
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,appendix,Figure 6,18,Show the semi-automatic sharding pipeline and rejection points.
iclr-2026-a6ddc629568b,ICLR,outstanding,table,appendix,Table 2,20,"Validate user simulation, strategy labels, extraction, and overall conversation success."
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,appendix,Figure 7,21,Explain why mean performance cannot identify aptitude versus reliability.
iclr-2026-a6ddc629568b,ICLR,outstanding,table,appendix,Table 3,22,Associate delayed first answer attempts with higher performance.
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,appendix,Figure 8,23,Visualize answer bloat over successive multi-turn attempts.
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,appendix,Figure 9,24,Show first/last-turn citation bias and loss in middle turns.
iclr-2026-a6ddc629568b,ICLR,outstanding,table,appendix,Table 4,25,Associate longer assistant responses with lower performance on five tasks.
iclr-2026-a6ddc629568b,ICLR,outstanding,table,appendix,Table 5,26,Measure agent-style repetition interventions.
iclr-2026-a6ddc629568b,ICLR,outstanding,table,appendix,Table 6,26,Test whether warning the model about underspecification changes performance.
iclr-2026-a6ddc629568b,ICLR,outstanding,table,appendix,Table 7,27,Test temperature as a reliability intervention.
iclr-2026-a6ddc629568b,ICLR,outstanding,table,appendix,Table 8,28,Provide an episodic-task negative result.
iclr-2026-a6ddc629568b,ICLR,outstanding,table,appendix,Table 9,29,Operationalize response-strategy classification.
iclr-2026-a6ddc629568b,ICLR,outstanding,table,appendix,Table 10,30,Record model access details for reproducibility.
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,appendix,Figure 10,34,Give a concrete failure case of assumption accumulation and incomplete recovery.
